OBJECTID,LLID,LAKE_LLID,AGENCY,AGENCY_ID,STATION,DEC_LAT,DEC_LONG,DESCRIPTION,QAQC1,QAQC2,Comments,RIVER_MILE,HUC_6,HU_6_Name,HUC_8,HU_8_Name,GIS_STREAMNAME,LAKE_NAME,GIS_Source,GIS_Source_LAKE,Estuary_2010,Sal_ppth,Est_Sal,Est_Final,Est_Comments,MATRIX
327,1184569447796,,United State Geological Survey,USGS,4443181182752,44.721541,-118.465502,LITTLE SKINNY DIP,Needs Secondary Review,Potential Digitization,No stream deliniated in NHDH or DEQ stream. Stream may be in a valley to the north of the station.,4.850661,170702,John Day,17070202,North Fork John Day,Olive Creek,,StreamNet 100K,,,,,,,
328,1179390447244,,United State Geological Survey,USGS,4443281175624,44.724321,-117.941052,ELK CREEK POND,Needs Secondary Review,Remove,No pond deliniated in NHDH or DEQ waterbodies. No pond visible in satelite imagery. Station verified in NWIS,0.132258,170502,Middle Snake-Powder,17050203,Powder,Wilson Creek,,StreamNet 100K,,,,,,,
329,1221580447267,1221732447149,United State Geological Survey,USGS,444410122093000,44.736111,-122.158333,"DETROIT LAKE AT KANES MARINA, OR",Needs Secondary Review,Correct,Lake LLID added,0.705036,170900,Willamette,17090005,North Santiam,Breitenbush River,Detroit Reservoir,StreamNet 100K,StreamNet 100K,,,,Freshwater,,FW
330,1231234447873,,United State Geological Survey,USGS,444605123043200,44.767944,-123.075556,"KILLDEER POND, OR (NWR ANKY SITES)",Needs Secondary Review,Potential Digitization,No pond deliniated in NHDH or DEQ waterbodies. No pond visible in satelite imagery. Station number not in NWIS,1.648451,170900,Willamette,17090007,Middle Willamette,Bashaw Creek,,StreamNet 100K,,,,,,,
331,1231234447873,,United State Geological Survey,USGS,444605123043201,44.768139,-123.075528,"SOUTH POND , OR  (NWR  ANKY SITES)",Needs Secondary Review,Potential Digitization,No pond deliniated in NHDH or DEQ waterbodies. No pond visible in satelite imagery. Station verified in NWIS,1.648451,170900,Willamette,17090007,Middle Willamette,Bashaw Creek,,StreamNet 100K,,,,,,,
332,1230650447772,,United State Geological Survey,USGS,444624123032600,44.77325,-123.057222,"DUGOUT PONDS, OR (NWR ANKY SITES)",Needs Secondary Review,Potential Digitization,No pond deliniated in NHDH or DEQ waterbodies. No pond visible in satelite imagery. Station verified in NWIS,0.30715,170900,Willamette,17090007,Middle Willamette,Miller Creek,,StreamNet 100K,,,,,,,
333,1221580447267,,United State Geological Survey,USGS,444649121594701,44.780122,-121.997575,BREITENBUSH R BLW BREITENBUSH HOT SPGS NR DETROIT,Needs Secondary Review,Manually Revised with IRL tool,,10.407602,170900,Willamette,17090005,North Santiam,Breitenbush River,,StreamNet 100K,,,,,Freshwater,,FW
334,1230064446868,,United State Geological Survey,USGS,444728122450000,44.790956,-122.751199,"NORTH SANTIAM RIVER AT GEREN ISLAND, NR STAYTON,OR",Needs Secondary Review,Correct,,18.481381,170900,Willamette,17090005,North Santiam,North Santiam River,,StreamNet 100K,,,,,Freshwater,,FW
335,1230917448044,,United State Geological Survey,USGS,444732123051800,44.792222,-123.088333,"MAHOFF OND, OR (NWR  ANKY SITES)",Needs Secondary Review,Potential Digitization,No pond deliniated in NHDH or DEQ waterbodies. No pond visible in satelite imagery. Station verified in NWIS,0.832987,170900,Willamette,17090007,Middle Willamette,Sidney Power Ditch,,StreamNet 100K,,,,,,,
336,1230917448044,,United State Geological Survey,USGS,444759123050800,44.799722,-123.085556,"WIGEON MARSH , OR   (NWR  ANKY SITES)",Needs Secondary Review,Potential Digitization,No waterbody deliniated in NHDH or DEQ waterbodies. Station number not in NWIS,0.471398,170900,Willamette,17090007,Middle Willamette,Sidney Power Ditch,,StreamNet 100K,,,,,,,
337,1229643448348,,United State Geological Survey,USGS,445029122592600,44.841232,-122.991761,"BATTLE CREEK NEAR TURNER, OR",Needs Secondary Review,Correct,,1.66761,170900,Willamette,17090007,Middle Willamette,Battle Creek,,StreamNet 100K,,,,,Freshwater,,FW
338,1230450449387,,United State Geological Survey,USGS,445551123015800,44.930675,-123.033985,"PRINGLE CREEK AT SALEM, OR",Needs Secondary Review,Correct,,0.823678,170900,Willamette,17090007,Middle Willamette,Pringle Creek,,StreamNet 100K,,,,,Freshwater,,FW
339,1231811449281,,United State Geological Survey,USGS,445719123152200,44.955278,-123.256111,DUSKY MARSH (NWR BSKT SITE),Needs Secondary Review,Likely Correct,"Next to a delineated waterbody in DEQ Lakes, but names do not match. Site snapped to Basket Slough",4.98593,170900,Willamette,17090007,Middle Willamette,Baskett Slough,,StreamNet 100K,,,,,Freshwater,,FW
340,1231811449281,,United State Geological Survey,USGS,445720123152000,44.955556,-123.255556,VANCOUVER MARSH (NWR BSKT SITE),Needs Secondary Review,Likely Correct,"Next to a delineated waterbody in DEQ Lakes, but names do not match. Site snapped to Basket Slough",4.957377,170900,Willamette,17090007,Middle Willamette,Baskett Slough,,StreamNet 100K,,,,,Freshwater,,FW
341,1231811449281,,United State Geological Survey,USGS,445830123150300,44.975,-123.250833,SMITH POND (NWR BSKT SITE),Needs Secondary Review,Likely Correct,"Next to a delineated waterbody in NHDH, but not DEQ Lakes. Names do not match. Site snapped to Basket Slough",8.153144,170900,Willamette,17090007,Middle Willamette,Baskett Slough,,StreamNet 100K,,,,,Freshwater,,FW
342,1232299450302,,United State Geological Survey,USGS,445915123153900,44.987417,-123.260833,ALEUTIAN MARSH  (NWR BSKT SITES),Needs Secondary Review,Potential Digitization,Near a delineated waterbody in DEQ Lakes. Names do not match,3.973566,170900,Willamette,17090008,Yamhill,Unnamed Stream,,StreamNet 100K,,,,,,,
343,1230310450293,,United State Geological Survey,USGS,450022123012400,45.005953,-123.024541,"CLAGGETT CREEK AT KEIZER, OR",Needs Secondary Review,Correct,,1.787328,170900,Willamette,17090007,Middle Willamette,Claggett Creek,,StreamNet 100K,,,,,Freshwater,,FW
344,1226050453723,,United State Geological Survey,USGS,450156122033100,45.032066,-122.059802,"UPPER CLACKAMAS RIVER AT TWO RIVERS C.G., OR",Needs Secondary Review,Correct,,55.810763,170900,Willamette,17090011,Clackamas,Clackamas River,,StreamNet 100K,,,,,Freshwater,,FW
345,1220532450744,,United State Geological Survey,USGS,450448122023000,45.079844,-122.042858,"OAK GROVE FORK AT RAINBOW CAMPGROUND, OR",Needs Secondary Review,Correct,,0.764977,170900,Willamette,17090011,Clackamas,Oak Grove Fork Clackamas River,,StreamNet 100K,,,,,Freshwater,,FW
346,1227171452976,,United State Geological Survey,USGS,450453122291000,45.081278,-122.486144,MOLALLA RIVER AT GLEN AVON BRIDGE,Needs Secondary Review,Correct,,25.315322,170900,Willamette,17090009,Molalla-Pudding,Molalla River,,StreamNet 100K,,,,,Freshwater,,FW
347,1220532450744,1217871451206,United State Geological Survey,USGS,450653121481001,45.114563,-121.803966,"TIMOTHY LAKE AT BOOM, OR (DEPTH 1)",Needs Secondary Review,Correct,Lake LLID added,15.827481,170900,Willamette,17090011,Clackamas,Oak Grove Fork Clackamas River,Unnamed Lake,StreamNet 100K,StreamNet 100K,,,,Freshwater,,FW
348,1220532450744,1217871451206,United State Geological Survey,USGS,450653121481002,45.114563,-121.803966,"TIMOTHY LAKE AT BOOM, OR  (DEPTH 2)",Needs Secondary Review,Correct,Lake LLID added,15.827481,170900,Willamette,17090011,Clackamas,Oak Grove Fork Clackamas River,Unnamed Lake,StreamNet 100K,StreamNet 100K,,,,Freshwater,,FW
349,1220532450744,1217871451206,United State Geological Survey,USGS,450653121481003,45.114563,-121.803966,"TIMOTHY LAKE AT BOOM, OR            (DUPLICATE3)",Needs Secondary Review,Correct,Lake LLID added,15.827481,170900,Willamette,17090011,Clackamas,Oak Grove Fork Clackamas River,Unnamed Lake,StreamNet 100K,StreamNet 100K,,,,Freshwater,,FW
350,1220532450744,1217871451206,United State Geological Survey,USGS,450653121481004,45.114563,-121.803966,"TIMOTHY LAKE AT BOOM, OR            (DUPLICATE4)",Needs Secondary Review,Correct,Lake LLID added,15.827481,170900,Willamette,17090011,Clackamas,Oak Grove Fork Clackamas River,Unnamed Lake,StreamNet 100K,StreamNet 100K,,,,Freshwater,,FW
351,1225415451691,,United State Geological Survey,USGS,450943122320400,45.161861,-122.535444,MOLALLA RIVER AT HWY 211,Needs Secondary Review,Correct,,0.837473,170900,Willamette,17090009,Molalla-Pudding,Molalla Braid 2,,StreamNet 100K,,,,,Freshwater,,FW
352,1226638452398,,United State Geological Survey,USGS,450955122291200,45.1655,-122.486889,MILK CREEK AT CAMP ADAMS,Needs Secondary Review,Manually Revised with IRL tool,Station number not in NWIS. Likely is on Milk Creek. Station data provided by USGS to Peter Bryant,16.360195,170900,Willamette,17090009,Molalla-Pudding,Milk Creek,,StreamNet 100K,,,,,Freshwater,,FW
353,1227171452976,,United State Geological Survey,USGS,451200122345800,45.200056,-122.582833,MOLALLA RIVER AT HWY 213,Needs Secondary Review,Correct,,13.534502,170900,Willamette,17090009,Molalla-Pudding,Molalla River,,StreamNet 100K,,,,,Freshwater,,FW
354,1227171452976,,United State Geological Survey,USGS,451336122381100,45.226505,-122.637585,MOLALLA RIVER UPSTREAM FROM MILK CREEK,Needs Secondary Review,Correct,,9.338795,170900,Willamette,17090009,Molalla-Pudding,Molalla River,,StreamNet 100K,,,,,Freshwater,,FW
355,1224947453929,,United State Geological Survey,USGS,451343122215900,45.228455,-122.367585,"CLEAR CREEK NEAR ESTACADA, OR",Needs Secondary Review,Correct,,18.514144,170900,Willamette,17090011,Clackamas,Clear Creek,,StreamNet 100K,,,,,Freshwater,,FW
356,1226050453723,1222599452377,United State Geological Survey,USGS,451438122164001,45.243732,-122.278972,"NORTH FORK RES AT BOOM STATION 1 (DEPTH 1), OR",Needs Secondary Review,Correct,Lake LLID Added,29.396706,170900,Willamette,17090011,Clackamas,Clackamas River,Unnamed Lake,StreamNet 100K,StreamNet 100K,,,,Freshwater,,FW
357,1226050453723,1222599452377,United State Geological Survey,USGS,451438122164002,45.243732,-122.278972,"NORTH FORK RES AT BOOM STATION 1 (DEPTH 2), OR",Needs Secondary Review,Correct,Lake LLID Added,29.396706,170900,Willamette,17090011,Clackamas,Clackamas River,Unnamed Lake,StreamNet 100K,StreamNet 100K,,,,Freshwater,,FW
358,1226050453723,1222599452377,United State Geological Survey,USGS,451438122164003,45.243732,-122.278972,"NORTH FORK RES AT BOOM STATION 1 (DEPTH 3), OR",Needs Secondary Review,Correct,Lake LLID Added,29.396706,170900,Willamette,17090011,Clackamas,Clackamas River,Unnamed Lake,StreamNet 100K,StreamNet 100K,,,,Freshwater,,FW
359,1226050453723,1222599452377,United State Geological Survey,USGS,451438122164004,45.243732,-122.278972,"NORTH FORK RES AT BOOM STATION 1 (DEPTH 4), OR",Needs Secondary Review,Correct,Lake LLID Added,29.396706,170900,Willamette,17090011,Clackamas,Clackamas River,Unnamed Lake,StreamNet 100K,StreamNet 100K,,,,Freshwater,,FW
360,1227171452976,,United State Geological Survey,USGS,451603122423301,45.267343,-122.710371,"MOLALLA R AT KNIGHTS BRIDGE NR CANBY, OR",Needs Secondary Review,Correct,,2.792229,170900,Willamette,17090009,Molalla-Pudding,Molalla River,,StreamNet 100K,,,,,Freshwater,,FW
361,1227171452976,,United State Geological Survey,USGS,451607122423700,45.268528,-122.710111,"MOLALLA RIVER AT KNIGHTS BRIDGE, CANBY, OR",Needs Secondary Review,Correct,Station number not available in NWIS,2.708977,170900,Willamette,17090009,Molalla-Pudding,Molalla River,,StreamNet 100K,,,,,Freshwater,,FW
362,1229746452804,,United State Geological Survey,USGS,451734122585400,45.292618,-122.982879,"CHEHALEM CREEK AT NEWBERG, OR",Needs Secondary Review,Correct,,1.600636,170900,Willamette,17090007,Middle Willamette,Chehalem Creek,,StreamNet 100K,,,,,Freshwater,,FW
363,1228372453885,,United State Geological Survey,USGS,452109122531101,45.352522,-122.886394,CHICKEN CREEK AT KRUGER RD,Needs Secondary Review,Correct,,4.482345,170900,Willamette,17090010,Tualatin,Chicken Creek,,StreamNet 100K,,,,,Freshwater,,FW
364,1231445452259,,United State Geological Survey,USGS,452149123194900,45.363446,-123.331499,"NORTH YAMHILL CREEK NEAR YAMHILL, OR",Needs Secondary Review,Correct,,25.521708,170900,Willamette,17090008,Yamhill,North Yamhill River,,StreamNet 100K,,,,,Freshwater,,FW
365,1224320453894,,United State Geological Survey,USGS,452231122200000,45.375121,-122.334532,"DEEP CREEK NEAR SANDY, OR",Needs Secondary Review,Correct,,6.298566,170900,Willamette,17090011,Clackamas,Deep Creek,,StreamNet 100K,,,,,Freshwater,,FW
366,1227381453844,,United State Geological Survey,USGS,452301122442301,45.383672,-122.739764,NYBERG CREEK AT BROWNS FERRY PARK,Needs Secondary Review,Correct,,0.093453,170900,Willamette,17090010,Tualatin,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
367,1226500453377,,United State Geological Survey,USGS,452314122454600,45.387063,-122.763985,"TUALATIN R @ TUALATIN PARK RR BRDG, NR TUALATIN,OR",Needs Secondary Review,Correct,,8.772148,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
368,1226500453377,,United State Geological Survey,USGS,452326122454700,45.390397,-122.764263,"TUALATIN RIVER DOWNSTREAM FANNO CK, NR DURHAM, OR",Needs Secondary Review,Correct,,8.993,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
369,1226500453377,,United State Geological Survey,USGS,452333122460100,45.392341,-122.768152,"TUALATIN RIVER UPSTRM RM 9.4 RIFFLE, NR DURHAM, OR",Needs Secondary Review,Correct,,9.365936,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
370,1226500453377,,United State Geological Survey,USGS,452336122455300,45.393174,-122.76593,"TUALATIN RIVER UP/FROM WWTP OUTFALL,NR DURHAM, OR",Needs Secondary Review,Correct,,9.272915,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
371,1224320453894,,United State Geological Survey,USGS,452337122243300,45.393454,-122.410366,"DEEP CREEK AT CAMP KURATLI, NEAR BARTON, OR",Needs Secondary Review,Correct,,1.485998,170900,Willamette,17090011,Clackamas,Deep Creek,,StreamNet 100K,,,,,Freshwater,,FW
372,1224107453935,,United State Geological Survey,USGS,452337122243500,45.393454,-122.410922,"NORTH FORK DEEP CREEK AT BARTON, OR",Needs Secondary Review,Manually Revised with IRL tool,,0.002455,170900,Willamette,17090011,Clackamas,North Fork Deep Creek,,StreamNet 100K,,,,,Freshwater,,FW
373,1226500453377,,United State Geological Survey,USGS,452338122461800,45.39373,-122.772874,"TUALATIN RIVER @ COOK PARK BOAT RMP, NR TIGARD, OR",Needs Secondary Review,Correct,,9.775146,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
374,1224320453894,,United State Geological Survey,USGS,452340122251000,45.394288,-122.420644,"DEEP CREEK AT HWY 224, OR",Needs Secondary Review,Correct,,0.759826,170900,Willamette,17090011,Clackamas,Deep Creek,,StreamNet 100K,,,,,Freshwater,,FW
375,1226500453377,,United State Geological Survey,USGS,452342122460600,45.394841,-122.769541,"TUALATIN RIVER DOWNSTREAM COOK PARK, NR TIGARD, OR",Needs Secondary Review,Correct,,9.583983,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
376,1224188453949,,United State Geological Survey,USGS,452344122250400,45.395399,-122.418978,"NOYER CREEK AT MOUTH, NEAR BARTON, OR",Needs Secondary Review,Correct,,0.034193,170900,Willamette,17090011,Clackamas,Noyer Creek,,StreamNet 100K,,,,,Freshwater,,FW
377,1226500453377,,United State Geological Survey,USGS,452347122463000,45.39623,-122.776208,"TUALATIN RIVER UPSTREAM COOK PARK, NEAR TIGARD, OR",Needs Secondary Review,Correct,,10.078506,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
378,1227639453931,,United State Geological Survey,USGS,452348122454701,45.396613,-122.762971,"FANNO CREEK AT DURHAM CITY PARK, DURHAM, OR",Needs Secondary Review,Correct,,0.299697,170900,Willamette,17090010,Tualatin,Fanno Creek,,StreamNet 100K,,,,,Freshwater,,FW
379,1227639453931,,United State Geological Survey,USGS,452350122454101,45.397158,-122.761389,FANNO CREEK AT FOOT BRIDGE,Needs Secondary Review,Correct,,0.42693,170900,Willamette,17090010,Tualatin,Fanno Creek,,StreamNet 100K,,,,,Freshwater,,FW
380,1223744453954,,United State Geological Survey,USGS,452355122172400,45.398454,-122.291199,"TICKLE CREEK AT 362ND, NEAR SANDY, OR",Needs Secondary Review,Correct,,4.971902,170900,Willamette,17090011,Clackamas,Tickle Creek,,StreamNet 100K,,,,,Freshwater,,FW
381,1223744453954,,United State Geological Survey,USGS,452414122213200,45.403732,-122.360088,"TICKLE CREEK NEAR BORING, OR",Needs Secondary Review,Correct,,1.009006,170900,Willamette,17090011,Clackamas,Tickle Creek,,StreamNet 100K,,,,,Freshwater,,FW
382,1223744453954,,United State Geological Survey,USGS,452417122194600,45.404565,-122.330644,"TICKLE CREEK AT COLORADO ROAD, NEAR SANDY, OR",Needs Secondary Review,Correct,,2.609477,170900,Willamette,17090011,Clackamas,Tickle Creek,,StreamNet 100K,,,,,Freshwater,,FW
383,1225061454092,,United State Geological Survey,USGS,452420122291600,45.405399,-122.488978,"TRILLIUM CREEK AT ANDREGG PARKWAY, NR DAMASCUS, OR",Needs Secondary Review,Likely Correct,Found in NWIS,1.093479,170900,Willamette,17090011,Clackamas,Unnamed Stream,,PNW Hydrography 24K,,,,,Freshwater,,FW
384,1225134454085,,United State Geological Survey,USGS,452431122303200,45.408454,-122.51009,"ROCK CREEK NEAR MOUTH, OR",Needs Secondary Review,Correct,,0.178644,170900,Willamette,17090011,Clackamas,Rock Creek,,StreamNet 100K,,,,,Freshwater,,FW
385,1223214454074,,United State Geological Survey,USGS,452441122180500,45.411232,-122.302588,"TICKLE CREEK TRIB AT ORIENT ROAD, NEAR SANDY, OR",Needs Secondary Review,Correct,Found in NWIS,1.037727,170900,Willamette,17090011,Clackamas,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
386,1227534454137,,United State Geological Survey,USGS,452448122450801,45.413364,-122.752139,BALL CREEK AT 74TH,Needs Secondary Review,Correct,,0.053295,170900,Willamette,17090010,Tualatin,Ball Creek,,StreamNet 100K,,,,,Freshwater,,FW
387,1224188453949,,United State Geological Survey,USGS,452500122242700,45.41651,-122.4087,"NOYER CREEK DWNSTRM HWY 212, NEAR DAMASCUS, OR",Needs Secondary Review,Correct,,1.749388,170900,Willamette,17090011,Clackamas,Noyer Creek,,StreamNet 100K,,,,,Freshwater,,FW
388,1225222454131,,United State Geological Survey,USGS,452516122310500,45.420954,-122.519257,"SIEBEN CREEK DOWNSTREAM FROM SUNNYSIDE ROAD, OR",Needs Secondary Review,Correct,,1.237455,170900,Willamette,17090011,Clackamas,Sieben Drainage Ditch,,StreamNet 100K,,,,,Freshwater,,FW
389,1225134454085,,United State Geological Survey,USGS,452522122293700,45.422621,-122.494812,"ROCK CK@STONY BROOK CT(DWNSTRM 172)NR DAMASCUS, OR",Needs Secondary Review,Correct,,1.502053,170900,Willamette,17090011,Clackamas,Rock Creek,,StreamNet 100K,,,,,Freshwater,,FW
390,1226466454405,,United State Geological Survey,USGS,452526122364400,45.423731,-122.613426,"KELLOGG CREEK AT MILWAUKIE, OR",Needs Secondary Review,Correct,,2.163837,170900,Willamette,17090012,Lower Willamette,Kellogg Creek,,StreamNet 100K,,,,,Freshwater,,FW
391,1223214454074,,United State Geological Survey,USGS,452532122203800,45.411232,-122.302588,"NF DEEP CREEK TRIB AT CHURCH ROAD, NEAR BORING, OR",Needs Secondary Review,Correct,Found in NWIS,1.037727,170900,Willamette,17090011,Clackamas,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
392,1224107453935,,United State Geological Survey,USGS,452536122223800,45.42651,-122.378422,"NF DEEP CREEK UPSTREAM FROM WEIR, NEAR BORING, OR",Needs Secondary Review,Correct,,3.049884,170900,Willamette,17090011,Clackamas,North Fork Deep Creek,,StreamNet 100K,,,,,Freshwater,,FW
393,1227626454239,,United State Geological Survey,USGS,452541122453401,45.428078,-122.759528,RED ROCK CREEK AT HUNZIKER RD,Needs Secondary Review,Correct,,0.365725,170900,Willamette,17090010,Tualatin,Redrock Creek,,StreamNet 100K,,,,,Freshwater,,FW
394,1224107453935,,United State Geological Survey,USGS,452544122222600,45.428732,-122.375089,"NORTH FORK DEEP CREEK AT BORING, OR",Needs Secondary Review,Correct,,3.284297,170900,Willamette,17090011,Clackamas,North Fork Deep Creek,,StreamNet 100K,,,,,Freshwater,,FW
395,1223531454277,,United State Geological Survey,USGS,452546122202700,45.429287,-122.342033,"NF DEEP CREEK TRIBUTARY AT 312TH, NEAR BORING, OR",Needs Secondary Review,Likely Correct,Tributary of a tributary,0.591491,170900,Willamette,17090011,Clackamas,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
396,1227824454322,,United State Geological Survey,USGS,452547122465900,45.429563,-122.784264,"UNNAMEED CREEK AT WALNUT STREET, TIGARD, OR",Needs Secondary Review,Likely Correct,Tributary of Fanno Creek,0.210085,170900,Willamette,17090010,Tualatin,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
397,1224107453935,,United State Geological Survey,USGS,452558122211200,45.432621,-122.354533,"DOANE CREEK DOWNSTREAM FROM HWY 212, NR BORING, OR",Needs Secondary Review,Correct,Located along Deep Creek. Doane Creek is further downstream. Location taken at Road instead of stream?,4.593299,170900,Willamette,17090011,Clackamas,North Fork Deep Creek,,StreamNet 100K,,,,,Freshwater,,FW
398,1227852454334,,United State Geological Survey,USGS,452601122470901,45.433514,-122.785858,SUMMER CR AT TIEDEMAN AT MOUTH,Needs Secondary Review,Correct,,0.02817,170900,Willamette,17090010,Tualatin,Summer Creek,,StreamNet 100K,,,,,Freshwater,,FW
399,1231250454590,,United State Geological Survey,USGS,452601123080200,45.433611,-123.133889,"WAPATO LAKE NEAR GASTON, OR",Needs Secondary Review,Potential Digitization,"No lake delineated in DEQ Lakes or NHDH. Seasonal lake with known wq issues. ",2.517027,170900,Willamette,17090010,Tualatin,Wapato Creek,,StreamNet 100K,,,,,,,
400,1224107453935,,United State Geological Survey,USGS,452607122195200,45.435121,-122.332311,"DOLAN CREEK D/S FROM ORIENT ROAD, NEAR BORING, OR",Needs Secondary Review,Likely Correct,DEQ stream name differs. Station name and NHDH name agree.,5.988945,170900,Willamette,17090011,Clackamas,North Fork Deep Creek,,StreamNet 100K,,,,,Freshwater,,FW
401,1225134454085,,United State Geological Survey,USGS,452609122281900,45.435676,-122.473145,"ROCK CREEK AT FOSTER ROAD, OR",Needs Secondary Review,Correct,,3.349953,170900,Willamette,17090011,Clackamas,Rock Creek,,StreamNet 100K,,,,,Freshwater,,FW
402,1225134454085,,United State Geological Survey,USGS,452610122290200,45.435954,-122.48509,"ROCK CREEK AT 172ND AVENUE, OR",Needs Secondary Review,Correct,,2.567741,170900,Willamette,17090011,Clackamas,Rock Creek,,StreamNet 100K,,,,,Freshwater,,FW
403,1227827454392,,United State Geological Survey,USGS,452631122463101,45.441774,-122.776548,"ASH CREEK AT SHADY LANE, TIGARD, OR",Needs Secondary Review,Correct,,0.377703,170900,Willamette,17090010,Tualatin,Ash Creek,,StreamNet 100K,,,,,Freshwater,,FW
404,1227874454433,,United State Geological Survey,USGS,452635122471801,45.443144,-122.788264,UNNAMED TRIB TO FANNO CR AT IRONWOOD LOOP,Needs Secondary Review,Likely Correct,,0.040398,170900,Willamette,17090010,Tualatin,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
405,1226500453377,,United State Geological Survey,USGS,452637123142501,45.443739,-123.240272,"TUALATIN RIVER AT SOUTH ROAD NEAR CHERRY GROVE, OR",Needs Secondary Review,Correct,,69.274977,170900,Willamette,17090010,Tualatin,Tualatin River,,StreamNet 100K,,,,,Freshwater,,FW
406,1227639453931,,United State Geological Survey,USGS,452712122474901,45.453261,-122.796958,UNNAMED TRIB TO FANNO TRIB BELOW GREENWAY SCHOOL,Needs Secondary Review,Potential Digitization,Stream not delineated in either DEQ streams or NHDH,6.776303,170900,Willamette,17090010,Tualatin,Fanno Creek,,StreamNet 100K,,,,,,,
407,1226465454422,,United State Geological Survey,USGS,452743122365400,45.461786,-122.616205,"JOHNSON CREEK AT 45TH AVENUE, PORTLAND, OR",Needs Secondary Review,Correct,,3.112697,170900,Willamette,17090012,Lower Willamette,Johnson Creek,,StreamNet 100K,,,,,Freshwater,,FW
408,1228355454932,,United State Geological Survey,USGS,452756122502501,45.465553,-122.84015,JOHNSON CREEK SOUTH AT HART RD,Needs Secondary Review,Correct,,2.381818,170900,Willamette,17090010,Tualatin,Johnson Creek,,StreamNet 100K,,,,,Freshwater,,FW
409,1227615454726,,United State Geological Survey,USGS,452819122445501,45.471875,-122.748644,WOODS CREEK AT OLESON RD,Needs Secondary Review,Likely Correct,Names unavailable in stream layers,0.644466,170900,Willamette,17090010,Tualatin,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
410,1226465454422,,United State Geological Survey,USGS,452823122240900,45.472898,-122.403701,"JOHNSON CREEK AT PALMBLAD RD NR GRESHAM, OR",Needs Secondary Review,Correct,NHD calls this Davis Creek.,16.983818,170900,Willamette,17090012,Lower Willamette,Johnson Creek,,StreamNet 100K,,,,,Freshwater,,FW
411,1227639453931,,United State Geological Survey,USGS,452842122450101,45.478162,-122.751414,"FANNO CREEK AT WILLOWMERE DRIVE, PORTLAND, OR",Needs Secondary Review,Correct,,10.788759,170900,Willamette,17090010,Tualatin,Fanno Creek,,StreamNet 100K,,,,,Freshwater,,FW
412,1227502454783,,United State Geological Survey,USGS,452843122445001,45.478672,-122.747236,VERMONT CREEK AT RM 0.2,Needs Secondary Review,Likely Correct,Near Vermont Hills,0.147898,170900,Willamette,17090010,Tualatin,Unnamed Stream,,StreamNet 100K,,,,,Freshwater,,FW
413,1228355454932,,United State Geological Survey,USGS,452844122495001,45.479014,-122.830636,JOHNSON CREEK SOUTH AT GLENBROOK,Needs Secondary Review,Correct,,1.091581,170900,Willamette,17090010,Tualatin,Johnson Creek,,StreamNet 100K,,,,,Freshwater,,FW
414,1232219454870,,United State Geological Survey,USGS,452855123142501,45.481903,-123.240297,SAIN CREEK ABOVE HAGG LAKE,Needs Secondary Review,Correct,,0.956741,170900,Willamette,17090010,Tualatin,Sain Creek,,StreamNet 100K,,,,,Freshwater,,FW
415,1226465454422,,United State Geological Survey,USGS,452912122291200,45.486509,-122.487869,"JOHNSON CREEK AT CIRCLE AVE, OR",Needs Secondary Review,Correct,,11.372489,170900,Willamette,17090012,Lower Willamette,Johnson Creek,,StreamNet 100K,,,,,Freshwater,,FW
416,1227639453931,,United State Geological Survey,USGS,452912122444501,45.4867,-122.745775,FANNO CREEK ABOVE SYLVAN CREEK CONFLUENCE,Needs Secondary Review,Correct,,11.530898,170900,Willamette,17090010,Tualatin,Fanno Creek,,StreamNet 100K,,,,,Freshwater,,FW
417,1229133455196,,United State Geological Survey,USGS,452928122472301,45.490978,-122.789792,HALL CREEK AT 110TH AND CANYON,Needs Secondary Review,Correct,,8.511761,170900,Willamette,17090010,Tualatin,Beaverton Creek,,StreamNet 100K,,,,,Freshwater,,FW
418,1229133455196,,United State Geological Survey,USGS,452939122502301,45.494039,-122.839694,BEAVERTON CR AT MILLIKAN BLVD BELOW JOHNSON CR,Needs Secondary Review,Correct,,5.687087,170900,Willamette,17090010,Tualatin,Beaverton Creek,,StreamNet 100K,,,,,Freshwater,,FW
