OBJECTID,DESCRIPTION,DEC_LAT,DEC_LONG,RIVER_MILE,LLID,LAKE_LLID,LAKE_NAME,EPA_BEACH_ID,BEACH_NAME,AGENCY,AGENCY_ID,MATRIX,STATION,STREAM_NAME,LAKE_SOURCE,STREAM_SOURCE
1382,Malheur River near Little Valley,43.910333,-117.507583,45.6,1169731440585,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11480,Malheur River,,
1383,South Myrtle at  South Myrtle Creek Rd bridge (Umpqua),43.0304,-123.106,12.14,1232847430231,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34125,South Myrtle Creek,,100K
1384,Columbia River right 1/4 channel at opposite side from second wing dam upstream of M. James Gleason Boat Ramp,45.60793,-122.60665,106.6,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23812,Columbia River,,
1385,Alsea Bay at Eckman Tide Gate (outside),44.418333,-124.033056,3.6,1240782444222,,,OR515788,Alsea River Recreation Area Beach,Oregon Department of Environmental Quality,ODEQ,ES,13687,Alsea River,,
1386,Willamette River at Wheatland Ferry,45.090583,-123.044306,72.1,1227618456580,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10344,Willamette River,,
1387,South Umpqua River 300 feet upstream of RUSA outfall,43.2115,-123.395278,7.7,1234460432680,,,,,Oregon Department of Environmental Quality,ODEQ,FW,12900,South Umpqua River,,
1388,"Amazon Mine 1891 at Silver Creek upstream of Sumpter, OR",44.814694,-118.229083,1.2,1182078448087,,,,,Oregon Department of Environmental Quality,ODEQ,FW,22979,Silver Creek,,
1389,Klamath River at east side of Gorr Island,42.086361,-121.871,247.06,1221913420005,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11595,Klamath River,,
1390,North Slough at mouth (Causeway Bridge),43.438333,-124.233611,0.5,1242326434319,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13587,North Inlet,,
1391,Walla Walla River at OR/WA state line,46,-118.378722,40.6,1189393460624,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23497,Walla Walla River,,
1392,"Little Butte, at mill diversion pond nr. Reese Cr. Rd. (Rogue)",42.47688,-122.79115,5.55,1228754424514,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26637,Little Butte Creek,,100K
1393,Applegate River at Beaver Creek (Rogue),42.10702,-123.08786,42.19,1234507424301,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28360,Applegate River,,100K
1394,Neskowin Beach,45.10146,-123.9863,94.82,1240637462558,,,OR378443,Neskowin Beach,Oregon Department of Environmental Quality,ODEQ,SW,30513,Pacific Ocean,,
1395,"Coos Bay east side, 0.6 nautical miles west of Pierce Point",43.403169,-124.211048,10.87,1243397433543,,,,,Oregon Department of Environmental Quality,ODEQ,ES,31603,Coos Bay,,100K
1396,Tillamook Bay at Center Street,45.54425,-123.923028,1.4,1239378455599,,,,,Oregon Department of Environmental Quality,ODEQ,ES,20388,Tillamook Bay,,
1397,Luckiamute River at Hoskins,44.681778,-123.46775,40.1,1231480447559,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11111,Luckiamute River,,
1398,Crooked River upstream of North Fork Crooked River at Hwy 380,44.11439,-120.2424,109.52,1212676445778,,,,,Oregon Department of Environmental Quality,ODEQ,FW,32502,Crooked River,,100K
1399,"Soap Creek at South Boundary Road (Luckiamute, Willamette)",44.6674,-123.2777,12.28,1231630447305,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33925,Soap Creek,,100K
1400,"Q Street Canal, 200 feet d/s of Pierce Channel mouth",44.061125,-122.997611,4.73,1230833440571,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34494,Q Street Canal,,24K
1401,Kane Creek at River Mile 0.6 (Rogue),42.423797,-123.03972,0.6,1230472424294,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23846,Kane Creek,,
1402,Meadow Creek tributary,44.96174,-118.60722,1,1186111449747,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26906,Unnamed Stream,,
1403,Anderson CR at Source,45.7612,-123.9041,2.7,1238687457368,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21808,Anderson Creek,,
1404,Columbia River at Marker 59 (mid-channel) (upstream of from Sandy Island),45.970117,-122.826317,75.5,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23797,Columbia River,,
1405,"Columbia River at Columbia City, OR, right bank",45.9094,-122.803,79.93,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31718,Columbia River,,100K
1406,Applegate River 150 meters downstream of Hwy 199 (near Wilderville),42.398384,-123.45628,2.94,1234507424301,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31887,Applegate River,,100K
1407,Farraday Lake at dam near screens,45.2675,-122.32,1.68,1222987452521,1223156452657,Faraday Lake,,,Oregon Department of Environmental Quality,ODEQ,FW,24081,Unnamed Stream,StreamNet,100K
1408,"Muddy Creek at Diamond Hill Drive (tributary to Willamette River at River Mile 132.6, right bank)",44.2853,-123.1269,38.3,1232226445374,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28778,Muddy Creek,,
1409,"OR2000-0033, Columbia River 33",46.22675,-123.97801,3.8,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,ES,24015,Columbia River,,
1410,Calapooia River at Queen Road,44.620222,-123.127472,2.7,1231108446399,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11180,Calapooia River,,
1411,"Deer Creek at 1974 SE Douglas Avenue, Roseburg (South Umpqua, Umpqua)",43.2108,-123.3277,1,1233443432145,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25953,Deer Creek,,
1412,Powder River upstream of Huckleberry Loop,44.69894,-118.12202,140.2,1170508447455,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34443,Powder River,,100K
1413,Tillamook Bay,45.523611,-123.912222,2.8,1239378455599,,,,,Oregon Department of Environmental Quality,ODEQ,ES,20721,Tillamook Bay,,
1414,Cedar Creek,45.19196,-121.54788,2.1,1215191451739,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26887,Forest Creek,,
1415,Rogue River at River Mile 0.5 in Gold Beach Harbor,42.422756,-124.416359,0.5,1244292424210,,,,,Oregon Department of Environmental Quality,ODEQ,ES,25653,Rogue River,,
1416,Kiwanda Beach at Pacific Avenue,45.20236,-123.96965,87.48,1240637462558,,,OR769241,Cape Kiwanda State Park Beach,Oregon Department of Environmental Quality,ODEQ,SW,29380,Pacific Ocean,,
1417,Little Malheur River,44.24347,-118.26264,18.99,1182588440188,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33708,Little Malheur River,,
1418,Roney Creek 1 mile up Horse Creek Trail,44.107731,-122.018703,0.1,1220207441073,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21857,Roney Creek,,
1419,Middle Fork Coquille River downstream Reed Creek,43.0192,-123.6997,31.53,1241173430339,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34057,Middle Fork Coquille River,,100K
1420,Coquille Bay at Marker #14,43.122222,-124.411111,0.8,1244273431235,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13402,Coquille River,,
1421,"Rogue River at Chinook Park Boat Ramp (upstream of Grants Pass, Oregon)",42.429452,-123.258403,105.6,1244292424210,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30714,Rogue River,,
1422,Beaver Creek at mouth (Nehalem River Mile 92.8),45.840665,-123.211238,94.6,1238951456889,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23277,Nehalem River,,
1423,Cottonwood Creek downstream of confluence with Basin Creek (first Colemand Road bridge crossing off Hwy 20),43.8406,-117.57798,3.15,1175605438798,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31435,Cottonwood Creek,,100K
1424,Shoreline STP outfall at Zid,46.0962,-123.9135,5.8,1239211461664,,,,,Oregon Department of Environmental Quality,ODEQ,ES,12700,Skipanon River,,
1425,"Cook Creek at mouth (Calapooya Creek, Umpqua)",43.4001,-123.374,9.02,1234686433656,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33464,Calapooya Creek,,100K
1426,Amazon Diversion Channel at Royal Avenue,44.069722,-123.203056,5.85,1233006441081,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10149,Amazon Creek Diversion Channel,,24K
1427,Little Pudding River at Rambler Road,45.0458,-122.8956,2.9,1228537450739,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31875,Little Pudding River,,100K
1428,Little Clatskanie River,45.9831,-123.03879,0.4,1230400459886,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31374,Little Clatskanie River,,
1429,Little River below Clover Creek,43.20575,-122.82294,20.4,1231024432977,,,,,Oregon Department of Environmental Quality,ODEQ,FW,24141,Little River,,
1430,"Harris Beach, 150 feet north of South Creek",42.06115,-124.3036,349.38,1240637462558,,,OR270205,Harris Beach State Park,Oregon Department of Environmental Quality,ODEQ,SW,31543,Pacific Ocean,,100K
1431,New wetland site in Columbia Slough,45.6331,-122.7579,1,1227713456445,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30524,Columbia Slough #1,,
1432,"Little Butte Creek upstream of Nichols Branch Creek  ",42.48232,-122.77835,6.4,1228754424514,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25592,Little Butte Creek,,
1433,Willamette at Bowman Park Dock,44.64355,-123.08629,118.39,1227618456580,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33750,Willamette River,,100K
1434,Clatskanie River downstream of Beaver Slough,46.121889,-123.222667,1.6,1232329461403,,,,,Oregon Department of Environmental Quality,ODEQ,ES,22953,Beaver Slough,,
1435,Lost Creek at mouth (Sandy),45.37163,-121.8888,0.2,1218920453726,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34099,Lost Creek,,100K
1436,"Little Butte Creek downstream of Stream Mile 12.7 Irrigation Return Flow, Rogue River",42.450861,-122.678994,12.6,1228754424514,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30873,Little Butte Creek,,
1437,Baker Bay at west end of Sand Island,46.265516,-123.996876,2.59,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,ES,32276,Columbia River,,100K
1438,Beaver Creek at Beaver,45.277444,-123.825667,0.2,1238275452753,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11005,Beaver Creek,,
1439,"Rueben Creek at River Mile 0.22 (Grave, Rogue)",42.655431,-123.5701,0.1,1235696426536,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23840,Reuben Creek,,
1440,"Floras Lake, unnamed tributary #3",42.8596,-124.469,5.25,1244974429131,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31844,Boulder Creek,,100K
1441,Phillips Lake at USFS boat ramp off Hwy 7,44.6775,-118.0061,133.48,1170508447455,1180512446816,Mason Reservoir,,,Oregon Department of Environmental Quality,ODEQ,FW,34251,Powder River,StreamNet,100K
1442,Coquille River at River Mile 6.0 (Rocky Point Boat Ramp),43.164833,-124.357167,5.6,1244273431235,,,,,Oregon Department of Environmental Quality,ODEQ,ES,11721,Coquille River,,
1443,Baker Creek below Rainbow Lake (Yamhill),45.2529,-123.3396,11.32,1231850452478,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33965,Baker Creek,,100K
1444,Seaside STP at end of Chlorine Contact Chamber,46.0062,-123.9219,1.15,1239277460111,,,,,Oregon Department of Environmental Quality,ODEQ,ES,12325,Necanicum River,,100K
1445,Columbia River at Sauvie Island Beach Rivermile 90,45.770015,-122.770895,90.01,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34051,Columbia River,,100K
1446,"Crab Creek at River Mile 4.8 (Five Rivers, Alsea)",44.261233,-123.8493,4.4,1238448442926,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23820,Crab Creek,,
1447,Clatskanie River at Nehalem Street Bridge (River Mile 1.5),46.10598,-123.20208,1.5,1232215461207,,,,,Oregon Department of Environmental Quality,ODEQ,ES,25582,Clatskanie River,,
1448,Wisehart Creek upstream of Diamond-Parkdale receiving ditch,45.532944,-121.593778,2.6,1216017455658,,,,,Oregon Department of Environmental Quality,ODEQ,FW,22963,Wisehart Creek,,
1449,Twelvemile Creek at BLM boundary,41.994806,-120.042194,9.6,1199663420530,,,,,Oregon Department of Environmental Quality,ODEQ,FW,24151,Twelvemile Creek,,
1450,Neal Creek at County Road,45.651194,-121.51525,1.3,1215257456640,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11410,Neal Creek,,
1451,Gooseneck Creek upstream of Rowell Creek,45.01167,-123.47889,4.4,1234296450352,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28479,Gooseneck Creek,,
1452,Alder Creek at mouth (Middle Sandy),45.37735,-122.100833,0.1,1221012453793,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26409,Alder Creek,,
1453,55344 Lazy River Drive (ESE),43.810096,-121.454289,6.61,1214536438546,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25923,Little Deschutes River,,100K
1454,Pyramid Creek tributary,44.54929,-122.07407,2.9,1221106445307,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26950,Pyramid Creek Trib,,
1455,Glenn Creek at River Mile 5.45,44.947706,-123.100981,5,1230650449903,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21838,Glenn Creek,,
1456,Columbia River at second wing dam upstream of M. James Gleason Boat Ramp,45.602366,-122.611817,106.4,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23810,Columbia River,,
1457,6th Avenue irrigation drain,44.069,-117.2853,0.02,1172840440690,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33225,Unnamed Stream,,24K
1458,Coquille River Middle Fork above Reed Creek,43.0216,-123.6982,31.76,1241173430339,,,,,Oregon Department of Environmental Quality,ODEQ,FW,35217,Middle Fork Coquille River,,100K
1459,LONG TOM RIVER AT WARTHEN ROAD RM 41.84,44.07814,-123.43061,42.32,1232400443847,,,,,Oregon Department of Environmental Quality,ODEQ,FW,29667,Long Tom River,,100K
1460,"Upper Rock Creek at River Mile 11.5 (Coquille, Middle Fork)",43.090462,-123.73949,11.4,1238692429883,,,,,Oregon Department of Environmental Quality,ODEQ,FW,23833,Rock Creek,,
1461,"Salem ditch at 2nd Street, Stayton (tributary to Mill Creek at River Mile 18.7, to Willamette River at River Mile 83.6)",44.7983,-122.7932,3.2,1228249448265,,,,,Oregon Department of Environmental Quality,ODEQ,FW,29690,Salem Ditch,,
1462,Elk Creek at River Mile 1.38,43.575283,-123.9343,1.2,1239320435826,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21795,Elk Creek,,
1463,"Sharps Creek at Sharps Creek Recreation Site (tributary to Row River Mile 17.0, to Coast Fork Willamette River at River Mile 20.8)",43.6657,-122.8061,3.3,1228381436955,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28888,Sharps Creek,,
1464,Skipanon R 50 feet DS of Shoreline STP outfall,46.096586,-123.9141,5.8,1239211461664,,,,,Oregon Department of Environmental Quality,ODEQ,ES,22313,Skipanon River,,
1465,Santiam River at I-5 Freeway,44.738361,-123.001444,6.3,1231425447502,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10365,Santiam River,,
1466,South Fork Coos River at River Mile 32 near Mile Post 19,43.3434,-123.83357,28.08,1240991433776,,,,,Oregon Department of Environmental Quality,ODEQ,FW,32423,South Fork Coos River,,100K
1467,Indian Creek Above Ferguson Creek at Carroll Crossing Footbridge (Hood River),45.689,-121.5433,1.96,1215104457009,,,,,Oregon Department of Environmental Quality,ODEQ,FW,35140,Indian Creek,,100K
1468,Coquille River at Riverton Boat Ramp,43.153972,-124.277278,15.5,1244273431235,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13405,Coquille River,,
1469,Tioga Creek,43.289854,-123.80503,2.7,1238097433169,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26827,Tioga Creek,,
1470,Fish Creek 3.0 miles on Fish Creek Road (FSR 54),45.097408,-122.167214,4.6,1221528451579,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21872,Fish Creek,,
1471,Winchuck River above Salmon Creek,42.01445,-124.11506,8.9,1242066420048,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30669,Winchuck River,,
1472,Tillamook Landfill Surface Site SW-7,45.41743,-123.85145,0.51,1238441454195,,,,,Oregon Department of Environmental Quality,ODEQ,FW,24328,Beaver Creek,,100K
1473,Springs at Buck Butte,44.70556,-121.09225,9.38,1210626448018,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34799,Mud Springs Creek,,100K
1474,Willow Creek at downstream side of bridge at Lone High School,45.4989,-119.8298,30.9,1200159457949,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25153,Willow Creek,,
1475,Sutherlin Creek at State Street Bridge,43.388444,-123.313694,7.9,1233769433002,,,,,Oregon Department of Environmental Quality,ODEQ,FW,13105,Sutherlin Creek,,
1476,Trout Creek upstream of Little Trout Creek,42.187167,-118.369333,0.1,1183709421869,,,,,Oregon Department of Environmental Quality,ODEQ,FW,12269,Little Trout Creek,,
1477,Kelly Creek below Mt Hood Community College Detention Pond,45.5134,-122.3952,0.15,1223923455131,,,,,Oregon Department of Environmental Quality,ODEQ,FW,35601,Kelly Creek,,
1478,West Eagle Creek above ditch and concrete weir,45.0537,-117.4637,2.74,1174544450192,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34416,West Eagle Creek,,100K
1479,"Siuslaw River at River Mile 5.2, north shore, 0.8 nautical miles downstream of North Fork mouth",43.970795,-124.097308,4.84,1241338440157,,,,,Oregon Department of Environmental Quality,ODEQ,ES,32178,Siuslaw River,,100K
1480,Dixie Creek (Rye Valley),44.428122,-117.370335,1.7,1173590444475,,,,,Oregon Department of Environmental Quality,ODEQ,FW,24137,Clear Creek,,
1481,South Beaver Creek Below Oliver Creek (Mid Coast),44.4817,-124.0328,2.66,1240487445112,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34001,South Fork Beaver Creek,,100K
1482,Hickman Creek tributary by Thunder Rock,45.43938,-121.88429,0.6,1218919454462,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31359,Unnamed Stream,,
1483,Lenz Creek at mouth,45.64377,-121.51517,0.1,1215146456436,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11972,Lenz Creek,,
1484,Euchre Creek at Ophir Road Bridge,42.559055,-124.381944,0.8,1243922425611,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30672,Euchre Creek,,
1485,"OR2000-0038, Columbia River 38",46.23394,-123.88007,9.7,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,ES,24020,Columbia River,,
1486,Days Creek upstream of tidegate,43.3161,-124.3117,0.56,1243211433118,,,,,Oregon Department of Environmental Quality,ODEQ,ES,25995,Day Inlet,,
1487,"Wallowa River at 1st Street in Wallowa, OR",45.570264,-117.522544,23.5,1177853457255,,,,,Oregon Department of Environmental Quality,ODEQ,FW,24074,Wallowa River,,
1488,"Molalla River at Feyrer Park, River Mile 21.0",45.1381,-122.5333,0.29,1225358451411,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34245,Molalla Braid 4,,100K
1489,Cunningham Creek at Hungry Hollow Bridge (Coquille trib),43.208277,-124.151015,4.2,1242026431787,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25755,Cunningham Creek,,
1490,Neacoxie CR 100 meters S of Surf Pines RD at spring,46.0571,-123.921,3,1239194460155,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30734,Neacoxie Creek,,
1491,John Day River at Service Creek,44.792417,-120.002694,154.6,1206499457318,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11478,John Day River,,
1492,Elk Creek below dam (at gage),42.6788,-122.73968,1.6,1227559426618,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25802,Elk Creek,,
1493,North Myrtle just above Buck Fork (Umpqua),43.1296,-123.1217,14.3,1232963430229,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34123,North Myrtle Creek,,100K
1494,SHASTA COSTA CR AT RM 0.51,42.5708,-124.0431,0.5,1240518425715,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34461,Shasta Costa Creek,,
1495,Willamette River at Hwy 219 (new Newberg bridge),45.267639,-122.942361,48.2,1227618456580,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10342,Willamette River,,
1496,Coalbank Slough at Englewood Market,43.351806,-124.222278,1.4,1242064433621,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13585,Coalbank Slough,,
1497,Wishart Creek at Woodworth Drive,45.552722,-121.597222,1,1216017455658,,,,,Oregon Department of Environmental Quality,ODEQ,FW,13167,Wisehart Creek,,
1498,Yaquina Bay at Mccaferty's Beds,44.580833,-124.018889,6.44,1240830446097,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13685,Yaquina River,,
1499,Calapooia River,44.39304,-122.990225,34.82,1231108446399,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33505,Calapooia River,,
1500,"Blue Lake - Dock on south shore, mid-lake",45.55292,-122.45163,0.31,1224573455551,1224450455535,Blue Lake,,,Oregon Department of Environmental Quality,ODEQ,FW,30765,Arata Creek,StreamNet,100K
1501,Tenmile Creek at Lakeside Marina (off Park Street),43.573333,-124.175861,4.9,1242320435616,,,,,Oregon Department of Environmental Quality,ODEQ,FW,12607,Tenmile Creek,,
1502,POWDER CR AT RM 2.35,45.2431,-123.6915,1.85,1236589452519,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34468,Powder Creek,,
1503,Crabtree Creek at Riverside School Road,44.673389,-122.917806,2.4,1229569446754,,,,,Oregon Department of Environmental Quality,ODEQ,FW,10784,Crabtree Creek,,
1504,"Pine Creek at River Mile 29.5 (Snake), downstream of Lost Horse Creek, upstream of Bonanza Mine",44.98828,-117.19485,28.9,1168539449735,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26596,Pine Creek,,
1505,"Kenutchen Creek at Canal, below",42.2683,-122.7567,2.03,1227936422632,,,,,Oregon Department of Environmental Quality,ODEQ,FW,36050,Kenutchen Creek,,100K
1506,Balm Fork of Willow Creek at Gage site at Balm Fork Road Crossing,45.33166,-119.53994,1.2,1195436453461,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25191,Balm Fork,,
1507,"Williams Creek at Route 238 Bridge (Applegate, Rogue)",42.29355,-123.23844,0.32,1232401422976,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28382,Williams Creek,,100K
1508,"Columbia River at River Mile 7, 1.0 nautical miles south of Green Marker #7",46.243792,-123.963656,4.47,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,ES,32212,Columbia River,,100K
1509,Anderson Creek upstream of Newport drinking water plant discharge,44.6536,-124.0432,0.16,1240452446544,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33847,Anderson Creek,,24K
1510,Pass Creek at Laurel Hill Drive (Drain),43.660361,-123.316139,0.04,1233171436604,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11305,Pass Creek,,
1511,"Yaquina Bay, 0.12 nautical miles west of green marker #17",44.605253,-124.012789,4.67,1240830446097,,,,,Oregon Department of Environmental Quality,ODEQ,ES,32945,Yaquina River,,100K
1512,"Little Walla Walla River at The Frog     ",45.944946,-118.393955,10,1184802460383,,,,,Oregon Department of Environmental Quality,ODEQ,FW,32012,West Little Walla Walla River,,100K
1513,Coos Bay North near Pony Slough mouth,43.425337,-124.238326,7.7,1243397433543,,,,,Oregon Department of Environmental Quality,ODEQ,ES,32946,Coos Bay,,100K
1514,Bear Creek at West Valley View Road (Talent),42.245472,-122.775333,18.8,1229691424326,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11506,Bear Creek,,
1515,Schooner Cr @ NW 68th St (Mid Coast),44.6877,-124.0666,0.12,1240687446885,,,,,Oregon Department of Environmental Quality,ODEQ,ES,34769,Schooner Creek,,100K
1516,"Deer Creek at River Mile 5.8 (Illinois, Rogue)",42.276125,-123.598811,5.8,1236880422694,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26611,Deer Creek,,
1517,Winchester Bay at Ork Rock Park,43.68429,-124.182,0.2,1241812436868,,,,,Oregon Department of Environmental Quality,ODEQ,ES,26462,Winchester Creek,,
1518,Cow Creek below Quinces Creek at Quinces Creek Rd. (South Umpqua),42.78,-123.2798,50.53,1233379429474,,,,,Oregon Department of Environmental Quality,ODEQ,FW,34134,Cow Creek,,100K
1519,Jackson Creek 200 feet upstream of USFS Road #400,43.011083,-122.529528,21.7,1228807429694,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11655,Jackson Creek,,
1520,"Pringle Creek at River Mile 2.6, triburaty LLID 1230217449092 at Madrona Avenue, Salem",44.9063,-123.016,0.4,1230217449092,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28967,Pringle Creek Trib,,
1521,Ross Island Lagoon mouth,45.4907,-122.6578,14.73,1227618456580,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30739,Willamette River,,100K
1522,"North Fork Cozine Creek at Library Park Upstream of 2nd St (Cozine, S Yamhill)",45.20984,-123.20182,0.07,1232010452090,,,,,Oregon Department of Environmental Quality,ODEQ,FW,35067,North Branch Cozine Creek,,100K
1523,Rock Creek 200 feet upstream of mouth,45.855556,-123.189194,0.1,1231904458549,,,,,Oregon Department of Environmental Quality,ODEQ,FW,11787,Rock Creek,,
1524,Coos Bay at Marker #10,43.368889,-124.309167,2.1,1243397433543,,,,,Oregon Department of Environmental Quality,ODEQ,ES,13376,Coos Bay,,
1525,Canyon Creek downstream of Flimflam Creek,44.373825,-122.388886,3.8,1224485443976,,,,,Oregon Department of Environmental Quality,ODEQ,FW,21866,Canyon Creek,,
1526,Hunt Creek,46.17461,-123.44896,8,1234435462071,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30356,Hunt Creek,,
1527,"Muddy Creek at Peoria Road (tributary to Willamette River at River Mile 132.6, east bank)",44.52695,-123.20372,1.5,1232226445374,,,,,Oregon Department of Environmental Quality,ODEQ,FW,28767,Muddy Creek,,
1528,Columbia River at Klindt Point in The Dalles Transect East Bank (right bank),45.62876,-121.1934,184.1,1240483462464,,,,,Oregon Department of Environmental Quality,ODEQ,FW,35906,Columbia River,,
1529,Chetco River at Low Water Ford upstream of South Fork,42.196944,-124.136667,19.1,1242700420452,,,,,Oregon Department of Environmental Quality,ODEQ,FW,25209,Chetco River,,
1530,Muddy Creek,43.87305,-118.64565,3.74,1185826438662,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33699,Muddy Creek,,
1531,Suttle Camp Creek,44.43981,-122.27953,1.4,1222582444299,,,,,Oregon Department of Environmental Quality,ODEQ,FW,30425,Shuttle Camp Creek,,
1532,Beaver Creek,44.451434,-123.36539,2.7,1233189444584,,,,,Oregon Department of Environmental Quality,ODEQ,FW,26798,Beaver Creek,,
1533,Mill Creek Ehlen Road,45.2336,-122.7558,0.92,1227520452422,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31876,Mill Creek,,100K
1534,Nestucca R at RM 2.3 near Woods City (OR2005-0019),45.211428,-123.956569,2.28,1239555451826,,,,,Oregon Department of Environmental Quality,ODEQ,ES,32179,Nestucca River,,100K
1535,Cottonwood Creek at mouth,43.8712,-117.5624,0.7,1175605438798,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33181,Cottonwood Creek,,100K
1536,Annie Creek Wood River,42.76583,-122.06024,5.72,1219896427215,,,,,Oregon Department of Environmental Quality,ODEQ,FW,31492,Annie Creek,,
1537,Bewley Creek Upstream 50 yards from river (Tillamook),45.406108,-123.828219,0.05,1238283454068,,,,,Oregon Department of Environmental Quality,ODEQ,FW,33147,Bewley Creek,,100K
1538,Cullaby Canal at N end,46.0945,-123.9111,5.9,1239211461664,,,,,Oregon Department of Environmental Quality,ODEQ,ES,30591,Skipanon River,,
