"MonitoringLocationIdentifier","Site_no","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasureMeasureValue","DrainageAreaMeasureMeasureUnitCode","ContributingDrainageAreaMeasureMeasureValue","ContributingDrainageAreaMeasureMeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasureMeasureValue","HorizontalAccuracyMeasureMeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasureMeasureValue","VerticalMeasureMeasureUnitCode","VerticalAccuracyMeasureMeasureValue","VerticalAccuracyMeasureMeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasureMeasureValue","WellDepthMeasureMeasureUnitCode","WellHoleDepthMeasureMeasureValue","WellHoleDepthMeasureMeasureUnitCode","Site_name","Agency","LLID_Stream_Lake","Str_LLID","Str_name","LAKE_LLID","LAKE_NAME","Latitude_clean","Longitude_clean"
"USGS-14312600","14312600","USGS-OR","USGS Oregon Water Science Center","LAKE CREEK AT HIGHWAY 138 NEAR DIAMOND LAKE, OR","Stream","USFS  T.Herrett 3/06    lat long rev 10/06",17100301,NA,"",NA,"","43.257625400000002","-122.1705889",NA,"1","seconds","Interpolated from map","NAD83","4460.0","feet","20.0","feet","Interpolated from digital elevation model (DEM)","NGVD29","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.2576254","-122.1705889"
"USGS-14313500","14313500","USGS-OR","USGS Oregon Water Science Center","N UMPQUA RIVER BLW LEMOLO LK, NR TOKETEE FALLS, OR","Stream","",17100301,"170.0","sq mi",NA,"","43.322068700000003","-122.1955907",NA,"Unknown","Unknown","Interpolated from map","NAD83","4025.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.3220687","-122.1955907"
"USGS-14314010","14314010","USGS-OR","USGS Oregon Water Science Center","N UMPQUA R AT TOKETEE LAKE INFLOW NR TKTE FALLS,OR","Stream","USFS             T.Herrett March 2006",17100301,NA,"",NA,"","43.271511099999998","-122.4064305",NA,"1","seconds","Interpolated from map","NAD83","2430.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.2715111","-122.4064305"
"USGS-14316460","14316460","USGS-OR","USGS Oregon Water Science Center","NORTH UMPQUA R AT SODA SPGS, NR TOKETEE FALLS, OR","Stream","",17100301,NA,"",NA,"","43.305954399999997","-122.5128232",NA,"1","seconds","Interpolated from map","NAD83","1720.0","feet","100.0","feet","Interpolated from topographic map","NGVD29","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.3059544","-122.5128232"
"USGS-14316495","14316495","USGS-OR","USGS Oregon Water Science Center","BOULDER CREEK NEAR TOKETEE FALLS, OR","Stream","",17100301,"30.399999999999999","sq mi",NA,"","43.303454299999999","-122.5303237",NA,"10","seconds","Interpolated from map","NAD83","1640.0","feet","80.0","feet","Interpolated from topographic map","NGVD29","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.3034543","-122.5303237"
"USGS-14316500","14316500","USGS-OR","USGS Oregon Water Science Center","N UMPQUA RIVER ABV COPELAND CK NR TOKETEE FALLS,OR","Stream","",17100301,"475.0","sq mi",NA,"","43.295954299999998","-122.5367127",NA,"Unknown","Unknown","Interpolated from map","NAD83","1580.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.2959543","-122.5367127"
"USGS-14316700","14316700","USGS-OR","USGS Oregon Water Science Center","STEAMBOAT CREEK NEAR GLIDE, OR","Stream","",17100301,"227.0","sq mi",NA,"","43.349842000000002","-122.7289415",NA,"1","seconds","Interpolated from map","NAD83","1128.55","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.349842","-122.7289415"
"USGS-14316800","14316800","USGS-OR","USGS Oregon Water Science Center","NORTH UMPQUA R BL STEAMBOAT CR NR GLIDE,OREG.","Stream","",17100301,"865.0","sq mi",NA,"","43.321508199999997","-122.8094992",NA,"Unknown","Unknown","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.3215082","-122.8094992"
"USGS-14317450","14317450","USGS-OR","USGS Oregon Water Science Center","NORTH UMPQUA RIVER NEAR IDLEYLD PARK, OR","Stream","",17100301,"886.0","sq mi",NA,"","43.324562999999998","-122.9997836",NA,"Unknown","Unknown","Interpolated from map","NAD83","780.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.324563","-122.9997836"
"USGS-14317500","14317500","USGS-OR","USGS Oregon Water Science Center","N UMPQUA RIVER AB ROCK CR NR GLIDE OREG","Stream","",17100301,"886.0","sq mi",NA,"","43.330674199999997","-123.00311720000001",NA,"Unknown","Unknown","Interpolated from map","NAD83","770.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.3306742","-123.0031172"
"USGS-14350870","14350870","USGS-OR","USGS Oregon Water Science Center","NEIL CREEK AT MT ASHLAND, NEAR ASHLAND, OR","Stream","City of Ashland-periodic sampling and Q meas",17100308,"0.13600000000000001","sq mi",NA,"","42.081522900000003","-122.69475319999999",NA,"1","seconds","Interpolated from map","NAD83","5820.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.0815229","-122.6947532"
"USGS-14353420","14353420","USGS-OR","USGS Oregon Water Science Center","MIDDLE FORK OF E.F. ASHLAND CREEK, NR ASHLAND, OR","Stream","City of Ashland-periodic sampling & Q meas",17100308,"0.40400000000000003","sq mi",NA,"","42.095966599999997","-122.7191986",NA,"1","seconds","Interpolated from map","NAD83","5880.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.0959666","-122.7191986"
"USGS-14353425","14353425","USGS-OR","USGS Oregon Water Science Center","WEST FORK OF E.F. ASHLAND CREEK, NEAR ASHLAND, OR","Stream","City of Ashland-periodic sampling & Q meas",17100308,"0.36699999999999999","sq mi",NA,"","42.097077499999997","-122.72947670000001",NA,"1","seconds","Interpolated from map","NAD83","5940.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.0970775","-122.7294767"
"USGS-14353429","14353429","USGS-OR","USGS Oregon Water Science Center","EAST FORK OF EF ASHLAND CREEK, AT MT. ASHLAND, OR","Stream","New Central Point Office site",17100308,NA,"",NA,"","42.083189300000001","-122.7069759",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","6450.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.0831893","-122.7069759"
"USGS-14353430","14353430","USGS-OR","USGS Oregon Water Science Center","EAST FORK OF E.F. ASHLAND CREEK, NEAR ASHLAND, OR","Stream","City of Ashalnd-periodic sampling & Q meas",17100308,"0.11700000000000001","sq mi",NA,"","42.084856000000002","-122.70586470000001",NA,"1","seconds","Interpolated from map","NAD83","6120.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.084856","-122.7058647"
"USGS-14353435","14353435","USGS-OR","USGS Oregon Water Science Center","PUMPHOUSE CREEK AT MT ASHLAND, NEAR ASHLAND, OR","Stream","City of Ashland-periodic sampling & Q meas",17100308,"7.1999999999999995E-2","sq mi",NA,"","42.0904113","-122.7097538",NA,"1","seconds","Interpolated from map","NAD83","6000.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.0904113","-122.7097538"
"USGS-14353450","14353450","USGS-OR","USGS Oregon Water Science Center","E.F. ASHLAND CK, ABV BULL GAP CK, NR ASHLAND, OR","Stream","City of Ashland-periodic sampling & Q meas",17100308,"3.2000000000000002","sq mi",NA,"","42.109022000000003","-122.7111428",NA,"1","seconds","Interpolated from map","NAD83","4600.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.109022","-122.7111428"
"USGS-420451121510000","420451121510000","USGS-OR","USGS Oregon Water Science Center","KLAMATH STRAITS DRAIN NEAR HIGHWAY 97, OR","Stream","Stewart Rounds & Annett Sullivan Klamath R proj",18010204,NA,"",NA,"","42.080833300000002","-121.84999999999999",24000,"1","seconds","Differentially corrected Global Positioning System (DGPS)","NAD83","4088.0","feet","1.6000000000000001","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",41,"035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.0808333","-121.85"
"USGS-420615121533600","420615121533600","USGS-OR","USGS Oregon Water Science Center","KLAMATH RIVER AT SITE 12A, NR ROCK QUARRY, OR","Stream","Stewart Rounds & Annett Sulivan Klamath River proj",18010204,NA,"",NA,"","42.1041667","-121.89333329999999",24000,"1","seconds","Differentially corrected Global Positioning System (DGPS)","NAD83","4087.0","feet","1.6000000000000001","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",41,"035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.1041667","-121.8933333"
"USGS-420853121505500","420853121505500","USGS-OR","USGS Oregon Water Science Center","KLAMATH RIVER AT MILLER ISLAND BOAT RAMP, OR","Stream","Stewart Rounds & Annett Sullivan Klamath R proj",18010204,NA,"",NA,"","42.148055599999999","-121.84861100000001",24000,"1","seconds","Differentially corrected Global Positioning System (DGPS)","NAD83","4087.0","feet","1.6000000000000001","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",41,"035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.1480556","-121.848611"
"USGS-420941121453200","420941121453200","USGS-OR","USGS Oregon Water Science Center","OSU AG RESEARCH STATION","Stream: Canal","TARA CHESTNUT",18010203,NA,"",NA,NA,"42.161472199999999","-121.75875000000001",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.1614722","-121.75875"
"USGS-421015121471800","421015121471800","USGS-OR","USGS Oregon Water Science Center","LOST RIVER DIVERSION CHANNEL NR KLAMATH RIVER, OR","Stream","Stewart Round & Annett Sullivan Klamath model proj",18010204,NA,"",NA,"","42.170833299999998","-121.78833330000001",24000,"1","seconds","Interpolated from Digital Map","NAD83","4088.0","feet","1.6000000000000001","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",41,"035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.1708333","-121.7883333"
"USGS-421205121462300","421205121462300","USGS-OR","USGS Oregon Water Science Center","LAKE EUWANA TRESTLE (LET)","Lake, Reservoir, Impoundment","Lake Euwana Buoyuancy asay sites  T.Wood  8/06",18010204,NA,"",NA,"","42.201200900000003","-121.77408610000001",NA,".1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.2012009","-121.7740861"
"USGS-421209121463000","421209121463000","USGS-OR","USGS Oregon Water Science Center","KLAMATH RIVER AT RAILROAD BRIDGE, OR","Stream","Stewart Rounds & Annett Sullivan Klamath R proj",18010204,NA,"",NA,"","42.202500000000001","-121.77500000000001",24000,"1","seconds","Differentially corrected Global Positioning System (DGPS)","NAD83","4087.0","feet","1.6000000000000001","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",41,"035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.2025","-121.775"
"USGS-421311121472100","421311121472100","USGS-OR","USGS Oregon Water Science Center","LINK RIVER  (LRV)","Lake, Reservoir, Impoundment","Lake Euwana Buoyancy assay sites  T.Wood  8/06",18010204,NA,"",NA,"","42.203006199999997","-121.7903285",NA,".1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.2030062","-121.7903285"
"USGS-421420121481700","421420121481700","USGS-OR","USGS Oregon Water Science Center","FREMONT BRIDGE  (FBR)","Lake, Reservoir, Impoundment","Lake Euwana buoyancy assay sites  T.Wood  8/06",18010204,NA,"",NA,"","42.238755300000001","-121.80586599999999",NA,"1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.2387553","-121.805866"
"USGS-421740121551200","421740121551200","USGS-OR","USGS Oregon Water Science Center","FLOODED CALEDONIA MARSH (FCM-3)","Lake, Reservoir, Impoundment","QW portion of Sucker telemetry stydy  T.Wood  6/06",NA,NA,"",NA,"","42.294308100000002","-121.9211217",NA,"1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.2943081","-121.9211217"
"USGS-421807121543800","421807121543800","USGS-OR","USGS Oregon Water Science Center","FLOODED CALDONIA MARSH (FCM-1)","Lake, Reservoir, Impoundment","QW portion of Sucker Telemetry study  T.Wood",NA,NA,"",NA,"","42.301808000000001","-121.911677",NA,"1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.301808","-121.911677"
"USGS-421819121532800","421819121532800","USGS-OR","USGS Oregon Water Science Center","FLOODED CALEDONIA MARSH (FCM-2)","Lake, Reservoir, Impoundment","QW portion of Sucker telemetry study  T.Wood 6/06",NA,NA,"",NA,"","42.305141499999998","-121.8922319",NA,"1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.3051415","-121.8922319"
"USGS-421838121513900","421838121513900","USGS-OR","USGS Oregon Water Science Center","NORTH BUCK ISLAND  - NBI","Lake, Reservoir, Impoundment","REQUESTED BY TAMMY WOOD",18010203,NA,"",NA,"","42.310419500000002","-121.86195309999999",24000,"1","minutes","Interpolated from map","NAD83","4143.0","feet","10.0","feet","Interpolated from topographic map","NAVD88","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.3104195","-121.8619531"
"USGS-421933121550000","421933121550000","USGS-OR","USGS Oregon Water Science Center","HOWARD BAY  - HDB","Lake, Reservoir, Impoundment","REQUESTED BY TAMMY WOOD",18010203,NA,"",NA,"","42.325696299999997","-121.91778890000001",24000,"1","minutes","Interpolated from map","NAD83","4143.0","feet","10.0","feet","Interpolated from topographic map","NAVD88","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.3256963","-121.9177889"
"USGS-422042121513100","422042121513100","USGS-OR","USGS Oregon Water Science Center","RATTLESNAKE POINT  -  RPT","Lake, Reservoir, Impoundment","QW portion sucker telemetry study T.Wood 06/2005",18010203,NA,"",NA,"","42.344752100000001","-121.8598427",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.3447521","-121.8598427"
"USGS-422207119340400","422207119340400","USGS-OR","USGS Oregon Water Science Center","HART36","Lake, Reservoir, Impoundment","USGS-BRD Armi Sites in Eastern OR Aug. 2003",NA,NA,"",NA,"","42.3684966","-119.56883000000001",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","5640.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.3684966","-119.56883"
"USGS-422222120575602","422222120575602","USGS-OR","USGS Oregon Water Science Center","37.00S/15.00E-08DBC02","Stream","Near east well at Sprague River Park-C.Palmer 2002",18010202,NA,"",NA,"","42.372918499999997","-120.9666386",24000,".5","seconds","Global positioning system (GPS), uncorrected","NAD83","4370.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.3729185","-120.9666386"
"USGS-422305121553800","422305121553800","USGS-OR","USGS Oregon Water Science Center","MID-TRENCH - LOWER   -  MDTL","Lake, Reservoir, Impoundment","QW portion of sucker telemetry study T.Wood 9/2004",NA,NA,"",NA,"","42.384611499999998","-121.9284016",NA,"1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.3846115","-121.9284016"
"USGS-422305121553803","422305121553803","USGS-OR","USGS Oregon Water Science Center","MID-TRENCH - UPPER   - MDTU","Lake, Reservoir, Impoundment","QW portion of sucker telemetry study T.Wood 9/2004",NA,NA,"",NA,"","42.384689199999997","-121.9286044",NA,".01","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.3846892","-121.9286044"
"USGS-422312121515900","422312121515900","USGS-OR","USGS Oregon Water Science Center","MID-LAKE   -  MDL","Lake, Reservoir, Impoundment","QW portion sucker telemetry study T.Wood 06/2005",18010203,NA,"",NA,"","42.3865287","-121.8675384",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.3865287","-121.8675384"
"USGS-422437121515200","422437121515200","USGS-OR","USGS Oregon Water Science Center","MODOC RIM/MRM","Lake, Reservoir, Impoundment","QW portion Sucker telemetry study T.Wood 06/06",18010203,NA,"",NA,"","42.410222599999997","-121.86567770000001",NA,"1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4102226","-121.8656777"
"USGS-422500121581800","422500121581800","USGS-OR","USGS Oregon Water Science Center","UKL08-03","Lake, Reservoir, Impoundment","WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS",NA,NA,"",NA,"","42.416582499999997","-121.9728482",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4165825","-121.9728482"
"USGS-422501121581400","422501121581400","USGS-OR","USGS Oregon Water Science Center","UKL08","Lake, Reservoir, Impoundment","QW PORTION OF SUCKER TELEMETRY STUDY",NA,NA,"",NA,"","42.4167658","-121.9717287",NA,".1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4167658","-121.9717287"
"USGS-422502122011400","422502122011400","USGS-OR","USGS Oregon Water Science Center","UKL11-03","Lake, Reservoir, Impoundment","WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS",NA,NA,"",NA,"","42.417081899999999","-122.02171079999999",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4170819","-122.0217108"
"USGS-422559121574400","422559121574400","USGS-OR","USGS Oregon Water Science Center","EAGLE POINT - LOWER  - EPT","Lake, Reservoir, Impoundment","QW portion sucker telemetry study T.Wood 06/2005",18010203,NA,"",NA,"","42.432971100000003","-121.963376",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4329711","-121.963376"
"USGS-422559121574403","422559121574403","USGS-OR","USGS Oregon Water Science Center","EAGLE POINT - UPPER   - EPT","Lake, Reservoir, Impoundment","QW portion sucker telemetry study T.Wood 06/2005",18010203,NA,"",NA,"","42.432971100000003","-121.963376",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4329711","-121.963376"
"USGS-422606121592600","422606121592600","USGS-OR","USGS Oregon Water Science Center","UKL07","Lake, Reservoir, Impoundment","QW PORTION OF SUCKER TELEMETRY STUDY",NA,NA,"",NA,"","42.434890199999998","-121.9915603",NA,".1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4348902","-121.9915603"
"USGS-422621119401600","422621119401600","USGS-OR","USGS Oregon Water Science Center","HART64","Lake, Reservoir, Impoundment","USGS-BRD Armi Easter OR sites Aug.2003 C.Anderson",NA,NA,"",NA,"","42.439049699999998","-119.6721689",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","6600.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4390497","-119.6721689"
"USGS-422622122004000","422622122004000","USGS-OR","USGS Oregon Water Science Center","MID-NORTH - LOWER  - MDNL","Lake, Reservoir, Impoundment","WQ network for sucker telemetry study T.Wood  2004",NA,NA,"",NA,"","42.439164900000002","-122.01223880000001",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4391649","-122.0122388"
"USGS-422628121594500","422628121594500","USGS-OR","USGS Oregon Water Science Center","MID NORTH KLAMATH LAKE, OR","Lake, Reservoir, Impoundment","REQUESTED BY TAMMY WOOD",18010203,NA,"",NA,"","42.441111100000001","-121.9958333",124000,"1","minutes","Interpolated from map","NAD83","4143.0","feet","1.0","feet","Interpolated from topographic map","NAVD88","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4411111","-121.9958333"
"USGS-422708119395400","422708119395400","USGS-OR","USGS Oregon Water Science Center","HART65","Lake, Reservoir, Impoundment","USGS-BRD Armi Eastern OR sites Aug.2003 C.Anderson",NA,NA,"",NA,"","42.452105000000003","-119.6660579",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","6460.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.452105","-119.6660579"
"USGS-422711122003700","422711122003700","USGS-OR","USGS Oregon Water Science Center","UKL06","Lake, Reservoir, Impoundment","QW PORTION OF SUCKER TELEMETRY STUDY",NA,NA,"",NA,"","42.453022900000001","-122.0115334",NA,".1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4530229","-122.0115334"
"USGS-422714122034100","422714122034100","USGS-OR","USGS Oregon Water Science Center","UKL09-03","Lake, Reservoir, Impoundment","WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS",NA,NA,"",NA,"","42.453830600000003","-122.0624349",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4538306","-122.0624349"
"USGS-422719121571400","422719121571400","USGS-OR","USGS Oregon Water Science Center","WILLIAMSON RIVER OUTLET - WMR","Lake, Reservoir, Impoundment","WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS",NA,NA,"",NA,"","42.455248400000002","-121.95490390000001",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4552484","-121.9549039"
"USGS-422727121592400","422727121592400","USGS-OR","USGS Oregon Water Science Center","UKL02-03","Lake, Reservoir, Impoundment","WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS",NA,NA,"",NA,"","42.457442499999999","-121.9911273",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4574425","-121.9911273"
"USGS-422817122014800","422817122014800","USGS-OR","USGS Oregon Water Science Center","UKL05","Lake, Reservoir, Impoundment","QW PORTION OF SUCKER TELEMETRY STUDY",NA,NA,"",NA,"","42.471330600000002","-122.0310593",NA,".1","seconds","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4713306","-122.0310593"
"USGS-422840122030200","422840122030200","USGS-OR","USGS Oregon Water Science Center","UKL05-03","Lake, Reservoir, Impoundment","WQ NETWORK FOR SUCKER TELEMETRY STUDY 2003 T.WOODS",NA,NA,"",NA,"","42.4775524","-122.05168500000001",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.4775524","-122.051685"
"USGS-423050121545700","423050121545700","USGS-OR","USGS Oregon Water Science Center","WILLIAMSON RIVER ABOVE AGENCY LAKE","Stream","KLAMATH LAKE PROJECT - HEHARRISON",18010203,NA,"",NA,"","42.513747600000002","-121.9169594",NA,"Unknown","Unknown","Interpolated from map","NAD83",NA,"",NA,"","","","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.5137476","-121.9169594"
"USGS-423158123465900","423158123465900","USGS-OR","USGS Oregon Water Science Center","ROADS END CREEK  (Rdend)","Stream","ARMI grazing effects study-C.Anderson Nov. 2002",17100311,NA,"",NA,"","42.532611299999999","-123.7842435",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","2430.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.5326113","-123.7842435"
