MonitoringLocationIdentifier,Site_no,OrganizationIdentifier,OrganizationFormalName,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasureMeasureValue,DrainageAreaMeasureMeasureUnitCode,ContributingDrainageAreaMeasureMeasureValue,ContributingDrainageAreaMeasureMeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasureMeasureValue,HorizontalAccuracyMeasureMeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasureMeasureValue,VerticalMeasureMeasureUnitCode,VerticalAccuracyMeasureMeasureValue,VerticalAccuracyMeasureMeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasureMeasureValue,WellDepthMeasureMeasureUnitCode,WellHoleDepthMeasureMeasureValue,WellHoleDepthMeasureMeasureUnitCode,Site_name,Agency,LLID_Stream_Lake,Str_LLID,Str_name,LAKE_LLID,LAKE_NAME,LatChar,LonChar
USGS-14205850,14205850,USGS-OR,USGS Oregon Water Science Center,DAIRY CREEK AT SUSBAUER ROAD,Stream,REQUESTED BY MWJOHNSTON,17090010,NA,,NA,NA,45.5387263,-123.0417729,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,DAIRY CREEK AT SUSBAUER ROAD,USGS,1.22996E+12,1.22996E+12,Dairy Creek,NA,NA,45.5387263,-123.0417729
USGS-14206070,14206070,USGS-OR,USGS Oregon Water Science Center,MCKAY CK ABV WAIBLE CK @ SCOTCH CHURCH RD NR N.PLN,Stream,,17090010,NA,,NA,,45.5726155,-122.991772,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,MCKAY CK ABV WAIBLE CK @ SCOTCH CHURCH RD NR N.PLN,USGS,1.23012E+12,1.23012E+12,McKay Creek,NA,NA,45.5726155,-122.991772
USGS-14206180,14206180,USGS-OR,USGS Oregon Water Science Center,"MCKAY CREEK NEAR HILLSBORO,OREG.",Stream,(Includes data from 14206120 QW),17090010,61,sq mi,NA,NA,45.5428935,-123.004272,NA,1,seconds,Interpolated from map,NAD83,126.53,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"MCKAY CREEK NEAR HILLSBORO,OREG.",USGS,1.23012E+12,1.23012E+12,McKay Creek,NA,NA,45.5428935,-123.004272
USGS-14206200,14206200,USGS-OR,USGS Oregon Water Science Center,"DAIRY CREEK AT RTE 8 NEAR HILLSBORO, OR",Stream,,17090010,NA,,NA,NA,45.5198381,-123.0106608,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"DAIRY CREEK AT RTE 8 NEAR HILLSBORO, OR",USGS,1.22996E+12,1.22996E+12,Dairy Creek,NA,NA,45.5198381,-123.0106608
USGS-14206241,14206241,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT HWY 219 NEAR HILLSBORO, OR",Stream,,17090010,NA,,NA,NA,45.5001164,-122.9912157,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT HWY 219 NEAR HILLSBORO, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.5001164,-122.9912157
USGS-14206347,14206347,USGS-OR,USGS Oregon Water Science Center,"ROCK CREEK AT QUATAMA ROAD NEAR HILLSBORO, OR",Stream,Was site number 14206445 changed 10-08-2002,17090010,25.8,sq mi,NA,,45.5237277,-122.9092692,NA,1,seconds,Interpolated from map,NAD83,150,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"ROCK CREEK AT QUATAMA ROAD NEAR HILLSBORO, OR",USGS,1.22944E+12,1.22944E+12,Rock Creek,NA,NA,45.5237277,-122.9092692
USGS-14206372,14206372,USGS-OR,USGS Oregon Water Science Center,"JOHNSON CREEK AT DAVIS ROAD NEAR BEAVERTON, OR",Stream,,17090010,NA,,NA,,45.4748397,-122.8323219,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"JOHNSON CREEK AT DAVIS ROAD NEAR BEAVERTON, OR",USGS,1.22836E+12,1.22836E+12,Johnson Creek,NA,NA,45.4748397,-122.8323219
USGS-14206419,14206419,USGS-OR,USGS Oregon Water Science Center,"BRONSON CREEK AT SALTZMAN ROAD NR ORENCO, OR",Stream,,17090010,NA,,NA,NA,45.5551169,-122.8081555,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"BRONSON CREEK AT SALTZMAN ROAD NR ORENCO, OR",USGS,1.22886E+12,1.22886E+12,Bronson Creek,NA,NA,45.5551169,-122.8081555
USGS-14206421,14206421,USGS-OR,USGS Oregon Water Science Center,"BRONSON CREEK AT WEST UNION ROAD NR ORENCO, OR",Stream,,17090010,NA,,NA,,45.544839,-122.8395452,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"BRONSON CREEK AT WEST UNION ROAD NR ORENCO, OR",USGS,1.22886E+12,1.22886E+12,Bronson Creek,NA,NA,45.544839,-122.8395452
USGS-14206425,14206425,USGS-OR,USGS Oregon Water Science Center,"BRONSON CREEK AT 185TH AVE NR ALOHA, OR",Stream,Data moved from 14206298 2/18/2011,17090010,4.15,sq mi,NA,,45.532339,-122.8676014,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"BRONSON CREEK AT 185TH AVE NR ALOHA, OR",USGS,1.22886E+12,1.22886E+12,Bronson Creek,NA,NA,45.532339,-122.8676014
USGS-14206426,14206426,USGS-OR,USGS Oregon Water Science Center,BRONSON CREEK AT WALKER ROAD,Stream,Was 14206300 changed 10/02 Klamath Lake project,17090010,NA,,NA,,45.5301167,-122.8728793,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,BRONSON CREEK AT WALKER ROAD,USGS,1.22886E+12,1.22886E+12,Bronson Creek,NA,NA,45.5301167,-122.8728793
USGS-14206435,14206435,USGS-OR,USGS Oregon Water Science Center,"BEAVERTON CREEK AT SW 216TH AVE, NR ORENCO, OR",Stream,OWRD site  no USGS ADAPS data  10/09/2002,17090010,36.9,sq mi,NA,,45.5206722,-122.8995466,NA,1,seconds,Interpolated from map,NAD83,140,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"BEAVERTON CREEK AT SW 216TH AVE, NR ORENCO, OR",USGS,1.22913E+12,1.22913E+12,Beaverton Creek,NA,NA,45.5206722,-122.8995466
USGS-14206440,14206440,USGS-OR,USGS Oregon Water Science Center,OLD SITE SEE NEW SITE 14206295,Stream,DATA MOVED TO SITE 14206295 02/2011,17090010,NA,,NA,NA,45.4901167,-122.9514922,1,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT ROOD BRIDGE AT HILLSBORO, OR (old=NEW 14206295)",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.4901167,-122.9514922
USGS-14206441,14206441,USGS-OR,USGS Oregon Water Science Center,"DAWSON CREEK AT AIRPORT ROAD, NEAR HILLSBORO, OR",Stream,,17090010,NA,,NA,,45.5381718,-122.9359367,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"DAWSON CREEK AT AIRPORT ROAD, NEAR HILLSBORO, OR",USGS,1.22933E+12,1.22933E+12,Dawson Creek,NA,NA,45.5381718,-122.9359367
USGS-14206443,14206443,USGS-OR,USGS Oregon Water Science Center,"DAWSON CREEK AT BROOKWOOD ROAD, NEAR HILLSBORO, OR",Stream,,17090010,NA,,NA,,45.5240053,-122.9348254,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"DAWSON CREEK AT BROOKWOOD ROAD, NEAR HILLSBORO, OR",USGS,1.22933E+12,1.22933E+12,Dawson Creek,NA,NA,45.5240053,-122.9348254
USGS-14206445,14206445,USGS-OR,USGS Oregon Water Science Center,See new number 14206347,Stream,See new site number above in sta.name  10/08/2002,17090010,NA,,NA,,45.5237277,-122.9092692,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,See new number 14206347,USGS,1.22944E+12,1.22944E+12,Rock Creek,NA,NA,45.5237277,-122.9092692
USGS-14206450,14206450,USGS-OR,USGS Oregon Water Science Center,"ROCK CREEK NEAR HILLSBORO,OREG.",Stream,,17090010,74,sq mi,NA,,45.5023388,-122.9478811,NA,Unknown,Unknown,Interpolated from map,NAD83,116.27,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"ROCK CREEK NEAR HILLSBORO,OREG.",USGS,1.22944E+12,1.22944E+12,Rock Creek,NA,NA,45.5023388,-122.9478811
USGS-14206500,14206500,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT FARMINGTON,OREG.",Stream,,17090010,568,sq mi,NA,NA,45.4498392,-122.9512138,NA,Unknown,Unknown,Interpolated from map,NAD83,100.42,feet,0.1,feet,Level or other surveying method,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT FARMINGTON,OREG.",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.4498392,-122.9512138
USGS-14206670,14206670,USGS-OR,USGS Oregon Water Science Center,"MCFEE CREEK NEAR SCHOLLS, OR",Stream,,17090010,NA,,NA,NA,45.4012285,-122.9384349,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"MCFEE CREEK NEAR SCHOLLS, OR",USGS,1.22928E+12,1.22928E+12,McFee Creek,NA,NA,45.4012285,-122.9384349
USGS-14206690,14206690,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT HWY 210 BRIDGE, NR SCHOLLS, OR",Stream,,17090010,NA,,NA,NA,45.4178952,-122.9209346,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT HWY 210 BRIDGE, NR SCHOLLS, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.4178952,-122.9209346
USGS-14206740,14206740,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT ELSNER RD NEAR SHERWOOD, OR",Stream,,17090010,NA,,NA,NA,45.3881737,-122.8517655,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT ELSNER RD NEAR SHERWOOD, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.3881737,-122.8517655
USGS-14206748,14206748,USGS-OR,USGS Oregon Water Science Center,"CEDAR CREEK AT EDY ROAD, NEAR SHERWOOD, OR",Stream,,17090010,NA,,NA,,45.367896,-122.8573209,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"CEDAR CREEK AT EDY ROAD, NEAR SHERWOOD, OR",USGS,1.2286E+12,1.2286E+12,Cedar Creek,NA,NA,45.367896,-122.8573209
USGS-14206750,14206750,USGS-OR,USGS Oregon Water Science Center,"CHICKEN CREEK NEAR SHERWOOD, OR",Stream,,17090010,15.5,sq mi,NA,NA,45.3748404,-122.8564876,NA,Unknown,Unknown,Interpolated from map,NAD83,130,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"CHICKEN CREEK NEAR SHERWOOD, OR",USGS,1.22837E+12,1.22837E+12,Chicken Creek,NA,NA,45.3748404,-122.8564876
USGS-14206900,14206900,USGS-OR,USGS Oregon Water Science Center,"FANNO CREEK AT 56TH AVE, AT PORTLAND, OR",Stream,,17090010,2.37,sq mi,NA,NA,45.4878958,-122.7348194,NA,Unknown,Unknown,Interpolated from map,NAD83,250,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,51,NA,NA,NA,NA,NA,NA,NA,NA,"FANNO CREEK AT 56TH AVE, AT PORTLAND, OR",USGS,1.22764E+12,1.22764E+12,Fanno Creek,NA,NA,45.4878958,-122.7348194
USGS-14206925,14206925,USGS-OR,USGS Oregon Water Science Center,FANNO CREEK AT SCHOLLS FERRY ROAD NEAR ALLEN BLVD,Stream,Established for Stuart Rounds,17090010,NA,,NA,NA,45.4709512,-122.7748202,NA,Unknown,Unknown,Interpolated from map,NAD83,190,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,FANNO CREEK AT SCHOLLS FERRY ROAD NEAR ALLEN BLVD,USGS,1.22764E+12,1.22764E+12,Fanno Creek,NA,NA,45.4709512,-122.7748202
USGS-14206928,14206928,USGS-OR,USGS Oregon Water Science Center,"FANNO CREEK NEAR SW PARKVIEW LOOP NEAR METZGER, OR",Stream,,17090010,NA,,NA,,45.4573401,-122.7964872,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"FANNO CREEK NEAR SW PARKVIEW LOOP NEAR METZGER, OR",USGS,1.22764E+12,1.22764E+12,Fanno Creek,NA,NA,45.4573401,-122.7964872
USGS-14206933,14206933,USGS-OR,USGS Oregon Water Science Center,"ASH CREEK AT METZGER PARK AT METZGER, OR",Stream,,17090010,NA,,NA,,45.4498404,-122.7637084,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"ASH CREEK AT METZGER PARK AT METZGER, OR",USGS,1.22783E+12,1.22783E+12,Ash Creek,NA,NA,45.4498404,-122.7637084
USGS-14206935,14206935,USGS-OR,USGS Oregon Water Science Center,ASH CREEK AT GREENBERG ROAD,Stream,Was site 14206930 (Matt Johnston),17090010,NA,,NA,,45.4406737,-122.7792643,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,ASH CREEK AT GREENBERG ROAD,USGS,1.22783E+12,1.22783E+12,Ash Creek,NA,NA,45.4406737,-122.7792643
USGS-14206938,14206938,USGS-OR,USGS Oregon Water Science Center,"SUMMER CREEK AT SW 121 AVE NEAR TIGARD, OR",Stream,,17090010,NA,,NA,,45.4348403,-122.7998203,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"SUMMER CREEK AT SW 121 AVE NEAR TIGARD, OR",USGS,1.22785E+12,1.22785E+12,Summer Creek,NA,NA,45.4348403,-122.7998203
USGS-14206950,14206950,USGS-OR,USGS Oregon Water Science Center,"FANNO CREEK AT DURHAM, OR",Stream,STRATA WF-WP/u(a?),17090010,31.5,sq mi,NA,,45.403452,-122.7548185,24000,1,seconds,Interpolated from map,NAD83,115.78,feet,0.1,feet,Level or other surveying method,NAVD88,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"FANNO CREEK AT DURHAM, OR",USGS,1.22764E+12,1.22764E+12,Fanno Creek,NA,NA,45.403452,-122.7548185
USGS-14206960,14206960,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT BOONES FERRY RD AT TUALATIN, OR",Stream,,17090010,NA,,NA,NA,45.3859522,-122.7573183,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,67,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT BOONES FERRY RD AT TUALATIN, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.3859522,-122.7573183
USGS-14207050,14207050,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT STAFFORD RD NR LAKE OSWEGO, OR",Stream,,17090010,NA,,NA,NA,45.3795639,-122.6978721,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT STAFFORD RD NR LAKE OSWEGO, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.3795639,-122.6978721
USGS-14207200,14207200,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT OSWEGO DAM, NEAR WEST LINN, OR",Stream,,17090010,NA,,NA,NA,45.3565088,-122.6850937,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT OSWEGO DAM, NEAR WEST LINN, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.3565088,-122.6850937
USGS-14207600,14207600,USGS-OR,USGS Oregon Water Science Center,"TUALATIN RIVER AT WEISS BRIDGE AT WEST LINN, OR",Stream,TUALATIN PROJECT - requested by MCDOYLE,17090010,NA,,NA,NA,45.3395648,-122.654537,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"TUALATIN RIVER AT WEISS BRIDGE AT WEST LINN, OR",USGS,1.2265E+12,1.2265E+12,Tualatin River,NA,NA,45.3395648,-122.654537
USGS-14210000,14210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2998435,-122.3539746,NA,NA,NA,NA,NAD83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLACKAMAS RIVER AT ESTACADA, OR",USGS,1.22605E+12,1.22605E+12,Clackamas River,NA,NA,45.2998435,-122.3539746
USGS-14210530,14210530,USGS-OR,USGS Oregon Water Science Center,"RICHARDSON CREEK AT HWY 224, NEAR CARVER, OR",Stream,PESTICIDE STUDY   T.HERRETT     & K.CARPENTER,17090011,NA,,NA,,45.3976212,-122.4717558,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"RICHARDSON CREEK AT HWY 224, NEAR CARVER, OR",USGS,1.22476E+12,1.22476E+12,Richardson Creek,NA,NA,45.3976212,-122.4717558
USGS-14210750,14210750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3901214,-122.4942559,NA,NA,NA,NA,NAD83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLEAR CREEK AT CARVER,OREG.",USGS,1.22495E+12,1.22495E+12,Clear Creek,NA,NA,45.3901214,-122.4942559
USGS-14210900,14210900,USGS-OR,USGS Oregon Water Science Center,"SIEBEN CREEK AT HWY 224, OR",Stream,REQUESTED BY KURT CARPENTER,17090011,NA,,NA,,45.4102528,-122.5222389,24000,1,seconds,Interpolated from Digital Map,NAD83,NA,,NA,,,,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"SIEBEN CREEK AT HWY 224, OR",USGS,1.22522E+12,1.22522E+12,Sieben Drainage Ditch,NA,NA,45.4102528,-122.5222389
USGS-14211004,14211004,USGS-OR,USGS Oregon Water Science Center,"CARLI CREEK UPSTREAM FROM MOUTH, NR CLACKAMAS, OR",Stream,Kurt Carpenter project   & pesticide  T.Herrett,17090011,NA,,NA,,45.4003986,-122.5481463,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"CARLI CREEK UPSTREAM FROM MOUTH, NR CLACKAMAS, OR",USGS,1.22553E+12,1.22553E+12,Unnamed Stream,NA,NA,45.4003986,-122.5481463
USGS-14211006,14211006,USGS-OR,USGS Oregon Water Science Center,"CLACKAMAS RIVER AT CLACKAMAS, OR",Stream,Pesticide study        T.Herrett   Sept. 2006,17090011,NA,,NA,,45.3970652,-122.558702,NA,1,seconds,Interpolated from map,NAD83,NA,,NA,,,,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"CLACKAMAS RIVER AT CLACKAMAS, OR",USGS,1.22605E+12,1.22605E+12,Clackamas River,NA,NA,45.3970652,-122.558702
USGS-14211008,14211008,USGS-OR,USGS Oregon Water Science Center,"COW CREEK AT MOUTH, NEAR GLADSTONE, OR",Stream,Kurt Carpenter project & pesticide  T.Herrett,17090011,NA,,NA,,45.3901207,-122.5737024,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,NA,,NA,,,,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"COW CREEK AT MOUTH, NEAR GLADSTONE, OR",USGS,1.22573E+12,1.22573E+12,Cow Creek,NA,NA,45.3901207,-122.5737024
USGS-14211315,14211315,USGS-OR,USGS Oregon Water Science Center,"TRYON CREEK NEAR LAKE OSWEGO, OR",Stream,Portland Field Office station,17090012,6.28,sq mi,NA,,45.4306748,-122.6737057,NA,1,seconds,Interpolated from map,NAD83,95,feet,5,feet,Interpolated from topographic map,NGVD29,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"TRYON CREEK NEAR LAKE OSWEGO, OR",USGS,1.22656E+12,1.22656E+12,Tryon Creek,NA,NA,45.4306748,-122.6737057
USGS-14211500,14211500,USGS-OR,USGS Oregon Water Science Center,"JOHNSON CREEK AT SYCAMORE, OR",Stream,,17090012,26.8,sq mi,NA,NA,45.4776202,-122.5078686,NA,1,seconds,Interpolated from map,NAD83,228.47,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,51,NA,NA,NA,NA,NA,NA,NA,NA,"JOHNSON CREEK AT SYCAMORE, OR",USGS,1.22647E+12,1.22647E+12,Johnson Creek,NA,NA,45.4776202,-122.5078686
USGS-14211550,14211550,USGS-OR,USGS Oregon Water Science Center,"JOHNSON CREEK AT MILWAUKIE, OR",Stream,,17090012,53.17,sq mi,NA,NA,45.452897,-122.6431496,124000,1,seconds,Interpolated from map,NAD83,0,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,5,NA,NA,NA,NA,NA,NA,NA,NA,"JOHNSON CREEK AT MILWAUKIE, OR",USGS,1.22647E+12,1.22647E+12,Johnson Creek,NA,NA,45.452897,-122.6431496
USGS-14211720,14211720,USGS-OR,USGS Oregon Water Science Center,"WILLAMETTE RIVER AT PORTLAND, OR",Stream,,17090012,11200,sq mi,NA,,45.5175,-122.6691667,NA,1,seconds,Interpolated from Digital Map,NAD83,1.55,feet,1,feet,Interpolated from topographic map,NGVD29,US,41,51,NA,NA,NA,NA,NA,NA,NA,NA,"WILLAMETTE RIVER AT PORTLAND, OR",USGS,1.22762E+12,1.22762E+12,Willamette River,NA,NA,45.5175,-122.6691667
USGS-14222890,14222890,USGS-OR,USGS Oregon Water Science Center,"COLUMBIA RIVER NR COLUMBIA CITY,OREG.",Stream,,17080003,2539,sq mi,NA,,45.9151143,-122.8162154,NA,Unknown,Unknown,Interpolated from map,NAD83,NA,,NA,,,,US,41,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9151143,-122.8162154
USGS-14246900,14246900,USGS-OR,USGS Oregon Water Science Center,"COLUMBIA RIVER @ BEAVER ARMY TERMINAL NR QUINCY,OR",Stream,Columbia R Datum subtrct 1 ft to correct to NGVD29,17080003,256900,sq mi,NA,,46.1812214,-123.1834539,NA,1,seconds,Interpolated from map,NAD83,-1,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1812214,-123.1834539
USGS-14312490,14312490,USGS-OR,USGS Oregon Water Science Center,"LAKE CREEK CANAL NEAR DIAMOND LAKE, OR",Stream: Canal,USFS   for T.Herrett 10/12/2005,17100301,NA,,NA,,43.1854037,-122.166699,NA,1,seconds,"Global positioning system (GPS), uncorrected",NAD83,5183,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1854037,-122.166699
USGS-14312600,14312600,USGS-OR,USGS Oregon Water Science Center,"LAKE CREEK AT HIGHWAY 138 NEAR DIAMOND LAKE, OR",Stream,USFS  T.Herrett 3/06    lat long rev 10/06,17100301,NA,,NA,,43.2576254,-122.1705889,NA,1,seconds,Interpolated from map,NAD83,4460,feet,20,feet,Interpolated from digital elevation model (DEM),NGVD29,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2576254,-122.1705889
USGS-14313500,14313500,USGS-OR,USGS Oregon Water Science Center,"N UMPQUA RIVER BLW LEMOLO LK, NR TOKETEE FALLS, OR",Stream,,17100301,170,sq mi,NA,,43.3220687,-122.1955907,NA,Unknown,Unknown,Interpolated from map,NAD83,4025,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3220687,-122.1955907
USGS-14314010,14314010,USGS-OR,USGS Oregon Water Science Center,"N UMPQUA R AT TOKETEE LAKE INFLOW NR TKTE FALLS,OR",Stream,USFS             T.Herrett March 2006,17100301,NA,,NA,,43.2715111,-122.4064305,NA,1,seconds,Interpolated from map,NAD83,2430,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2715111,-122.4064305
USGS-14316460,14316460,USGS-OR,USGS Oregon Water Science Center,"NORTH UMPQUA R AT SODA SPGS, NR TOKETEE FALLS, OR",Stream,,17100301,NA,,NA,,43.3059544,-122.5128232,NA,1,seconds,Interpolated from map,NAD83,1720,feet,100,feet,Interpolated from topographic map,NGVD29,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3059544,-122.5128232
USGS-14316495,14316495,USGS-OR,USGS Oregon Water Science Center,"BOULDER CREEK NEAR TOKETEE FALLS, OR",Stream,,17100301,30.4,sq mi,NA,,43.3034543,-122.5303237,NA,10,seconds,Interpolated from map,NAD83,1640,feet,80,feet,Interpolated from topographic map,NGVD29,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3034543,-122.5303237
USGS-14316500,14316500,USGS-OR,USGS Oregon Water Science Center,"N UMPQUA RIVER ABV COPELAND CK NR TOKETEE FALLS,OR",Stream,,17100301,475,sq mi,NA,,43.2959543,-122.5367127,NA,Unknown,Unknown,Interpolated from map,NAD83,1580,feet,20,feet,Interpolated from topographic map,NGVD29,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2959543,-122.5367127
USGS-14316700,14316700,USGS-OR,USGS Oregon Water Science Center,"STEAMBOAT CREEK NEAR GLIDE, OR",Stream,,17100301,227,sq mi,NA,,43.349842,-122.7289415,NA,1,seconds,Interpolated from map,NAD83,1128.55,feet,10,feet,Interpolated from topographic map,NGVD29,US,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.349842,-122.7289415
