"Sort","Notes","No.","Pollutant","source","alias","CAS.No.","Carcinogen","Human.Health.Criteria...................Water...Organism..ug.L.","Human.Health.Criteria..Organism.Only..ug.L.","Freshwater.Acute.Criteria..CMC..ug.L","Freshwater.Chronic.Criteria..CCC..ug.L","Freshwater.Fish.Acute.1","Freshwater.Fish.Chronic.2","Freshwater.Invertebrates.Acute.3","Freshwater.Invertebrates.Chronic.4","Freshwater.Nonvascular.Plants.Acute.5","Freshwater.Vascular.Plants.Acute.6","Office.of.Water.Aquatic.Life.Criteria.Maximum.Concentration..CMC.","Office.of.Water.Aquatic.Life.Criteria.Continuous.Concentration..CCC.","minimum.criteria.benchmark.value","index","OR.MCLs","X","Marine.Acute.Criteria..CMC..ug.L","Marine.Chronic.Criteria..CCC..ug.L","Acute.One.Day.HHBP..ppb.","Chronic..Lifetime.HHBP..ppb.","Fish.SV.175.g.d..ppb..","Fish.SV.17.5.g.d..ppb.","Fish.SV.32.g.d..ppb."
166,"",45,"Cyanide","Table 40, 20","","57125","n","130","130","22","5.2","","","","","","","—","—","5.2","4","200",NA,"1","1","33000","6636","","",""
167,"",NA,"Cyazofamid","EPA HHBP","","120116-88-3","","","","","","","","","","","","","","0","13","",NA,"","","5000","49","","",""
168,"",NA,"Cyclanilide","EPA HHBP","","113136-77-9","","","","","","","","","","","","","","0","13","",NA,"","","670","35","","",""
169,"0",NA,"Cycloate","OPP, EPA HHBP","","1134-23-2","","","","","","2250","—","1300","—","—","—","","","1300","7","",NA,"","","200","168","","",""
170,"0",NA,"Cyfluthrin","OPP, EPA HHBP","","68359-37-5","","","","","","0.034","0.01","0.0125","0.007","—","—","—","—","0.007","8","",NA,"","","-","70","","",""
171,"",NA,"Cyhalofop-butyl","EPA HHBP","","122008-85-9","","","","","","","","","","","","—","—","0","13","",NA,"","","50","7","","",""
172,"",NA,"Cyhalothrin","EPA HHBP","","68085-85-8","","","","","","","","","","","","","","0","13","",NA,"","","67","18","","",""
173,"17",NA,"Cyhexatin","OPP, EPA HHBP","","13121-70-5","","","","","","—","—","—","—","—","—","","","0","13","",NA,"","","1320","6","","",""
174,"",NA,"Cymoxanil","EPA HHBP","","57966-95-7","","","","","","","","","","","","—","—","0","13","",NA,"","","1000","420","","",""
175,"0",NA,"Cypermethrin","OPP, EPA HHBP","","52315-07-8","","","","","","0.195","0.14","0.21","0.069","—","—","","","0.069","8","",NA,"","","","","","",""
176,"0",NA,"Cyphenothrin","OPP","","39515-40-7","","","","","","0.17","—","0.22","—","—","—","—","—","0.17","5","",NA,"","","660","70","","",""
177,"",NA,"Cyproconazole","EPA HHBP","","94361-06-5","","","","","","","","","","","","—","—","0","13","",NA,"","","49500","189","","",""
178,"0",NA,"Cyprodinil","OPP, EPA HHBP","","121552-61-2","","","","","","1205","230","16","8","2250","—","","","8","8","",NA,"","","-","2730","","",""
179,"",NA,"Cyprosulfamide","EPA HHBP","","221667-31-8","","","","","","","","","","","","—","—","0","13","",NA,"","","-","105","","",""
180,"0",NA,"Cyromazine","OPP, EPA HHBP","","66215-27-8","","","","","","44850","14000","46400","310","—","—","","","310","8","",NA,"","","3300","126","","",""
181,"8",NA,"DACT Atrazine degradate","OPP, EPA HHBP","Diaminochlrotrizine (DACT)","- -","","","","","","> 50,000","—","> 50,000","—","—","—","—","—","0","13","",NA,"","","","","","",""
182,"8",NA,"Dacthal (DCPA)","OPP","","1861-32-1","","","","","","15000","—","13500","—","> 11,000","> 11,000","—","—","13500","7","",NA,"","","","","","",""
183,"",NA,"Dalapon","Table 40, 20","","","","","","","","","","","","","","—","—","0","13","200",NA,"","","300","56","","",""
184,"",NA,"d-Allethrin (Pynamin Forte)","EPA HHBP","","584-79-2","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
185,"0",NA,"Daminozide","OPP","","1596-84-5","","","","","","224000","—","35500","—","> 99,800","—","","","35500","7","",NA,"","","33000","6600","","",""
186,"",NA,"Dantochlor (BCDMH)","EPA HHBP","","118-52-5","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
187,"0",NA,"Dazomet Methyl isothiocyanate (MITC) degradate","OPP","","533-74-4 / 556-61-6","","","","","","25.6","—","27.5","25","254","590","","","25","8","",NA,"","","3300","700","","",""
188,"",NA,"DDAC, Didecyl dimethyl ammonium chloride","EPA HHBP","","7173-51-5","","","","","","","","","","","","—","—","0","13","",NA,"","","-","3500","","",""
189,"",NA,"DDBSA","EPA HHBP","","27176-87-0","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
190,"0",NA,"DDVP Naled degradate","OPP","","- -","","","","","","50","5.2","0.033","0.0058","—","—","","","0.0058","8","",NA,"","","","","","",""
191,"0",NA,"DEA Atrazine degradate","OPP","Atrazine-Desethyl","- -","","","","","","—","—","—","—","1000","—","—","—","1000","9","",NA,"","","100","70","","",""
192,"0",NA,"Deltamethrin","OPP, EPA HHBP","","52918-63-5","","","","","","0.29","0.017","0.055","0.0041","—","—","—","—","0.0041","8","",NA,"","","","","","",""
193,"0",NA,"Tralomethrin degradate - deltamethrin","OPP","","52820-00-5","","","","","","0.29","0.017","0.055","0.0041","—","—","—","—","0.0041","8","",NA,"","","","","","",""
194,"",49,"Demeton","Table 40, 20","","8065483","","--","--","--","0.1","","","","","","","—","—","0.1","4","",NA,"","0.1","1000","280","","",""
195,"",NA,"Desmedipham","EPA HHBP","","13684-56-5","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
196,"",NA,"Di (2-ethylhexyl) adipate","Table 40, 20","Bis(2-ethylhexyl)adipate","","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
197,"",NA,"Di (2-ethylhexyl) phthalate","Table 40, 20","","","","","","","","","","","","","","","","0","13","400",NA,"","","","","","",""
198,"8",NA,"DIA Atrazine degradate","OPP","Atrazine-Desisopropyl","- -","","","","","","8500","—","> 63,000","—","2500","—","","","2500","9","6",NA,"","","","","","",""
199,"10,13",NA,"Diazinon","OPP","","333-41-5","","","","","","45","< 0.55","0.11","0.17","3700","—","","","0.11","7","",NA,"","","","","0.054794521","0.547945205","0.299657534"
200,"",50,"Dibenz[a,h]anthracene","Table 40, 20","Dibenz(a,h)anthracene","53703","y","0.0013","0.0018","--","--","","","","","","","—","—","0.0013","1","",NA,"","","","","","",""
201,"",NA,"Dibromochloropropane","Table 40, 20","","","","","","","","","","","","","","0.17","0.17","0","13","",NA,"","","","","","",""
202,"8,11",NA,"Dicamba","OPP","","1918-00-9","","","","","","14000","—","17300","—","61","> 3,250","","","61","9","0.2",NA,"","","","","","",""
203,"0",NA,"Dicamba, dimethylamine salt","OPP","","2300-66-5","","","","","","488500","—","781500","—","—","—","","","488500","5","",NA,"","","","","","",""
204,"0",NA,"Dicamba, sodium salt","OPP","","1982-69-0","","","","","","253600","—","17300","—","—","—","—","—","17300","7","",NA,"","","1485","70","","",""
205,"13",NA,"Dichlobenil","OPP, EPA HHBP","","1194-65-6","","","","","","2465","< 330","1850","560","1000","30","—","—","30","10","",NA,"","","16500","175","","",""
206,"",NA,"Dichloran","EPA HHBP","","99-30-9","","","","","","","","","","","","—","—","0","13","",NA,"--","--","","","5360","53600","29312.5"
207,"",51,"Dichlorobenzene(m) 1,3","Table 40, 20","","13","n","80","96","--","--","","","","","","","—","—","80","1","",NA,"--","--","","","36000","360000","196875"
208,"",52,"Dichlorobenzene(o) 1,2","Table 40, 20","","13","n","110","130","--","--","","","","","","","","","110","1","",NA,"--","--","","","5360","53600","29312.5"
209,"",53,"Dichlorobenzene(p) 1,4","Table 40, 20","","13","n","16","19","--","--","","","","","","","","","16","1","600",NA,"--","--","","","0.888888889","8.888888889","4.861111111"
210,"",54,"Dichlorobenzidine 3,3'","Table 40, 20","","91941","y","0.0027","0.0028","--","--","","","","","","","","","0.0027","1","75",NA,"--","--","","","6.451612903","64.51612903","35.28225806"
211,"",55,"Dichlorobromomethane","Table 40, 20","Bromodichloromethane","75274","y","0.42","1.7","--","--","","","","","","","","","0.42","1","",NA,"--","--","","","4.395604396","43.95604396","24.03846154"
212,"",56,"Dichloroethane 1,2","Table 40, 20","","107062","y","0.35","3.7","--","--","","","","","","","","","0.35","1","",NA,"--","--","","","20000","200000","109375"
213,"",57,"Dichloroethylene 1,1","Table 40, 20","","75354","n","230","710","--","--","","","","","","","","","230","1","5",NA,"","","","","","",""
214,"",NA,"Dichloroethylene cis 1,2","Table 40, 20","","","","","","","","","","","","","","","","0","13","7",NA,"--","--","","","8000","80000","43750"
215,"",58,"Dichloroethylene trans 1,2","Table 40, 20","","156605","n","120","1000","--","--","","","","","","","","","120","1","70",NA,"","","","","","",""
216,"",NA,"Dichloromethane","Table 40, 20","","","","","","","","","","","","","","","","0","13","100",NA,"--","--","","","1200","12000","6562.5"
217,"",59,"Dichlorophenol 2,4","Table 40, 20","","120832","n","23","29","--","--","","","","","","","","","23","1","5",NA,"--","--","","","5.970149254","59.70149254","32.64925373"
218,"",60,"Dichloropropane 1,2","Table 40, 20","","78875","y","0.38","1.5","--","--","","","","","","","","","0.38","1","",NA,"--","--","","","4","40","21.875"
219,"",61,"Dichloropropene 1,3","Table 40, 20","","542756","y","0.3","2.1","--","--","","","","","","","","","0.3","1","5",NA,"","","80","4","","",""
220,"",NA,"Dichlorvos","OPP, EPA HHBP","Dichlorvos (DDVP)","62-73-7","","","","","","79.5","5.2","0.035","0.0058","14000","—","","","0.0058","8","",NA,"","","3300","16","","",""
221,"",NA,"Diclofop-methyl","EPA HHBP","","51338-27-3","","","","","","","","","","","","","","0","13","",NA,"","","-","350","","",""
222,"",NA,"Diclosulam","EPA HHBP","","145701-21-9","","","","","","","","","","","","—","—","0","13","",NA,"","","500","3","","",""
223,"0",NA,"Dicofol","OPP, EPA HHBP","","115-32-2","","","","","","26.5","4.4","70","19","> 5,000","—","","","4.4","6","",NA,"","","17","0.5","","",""
224,"0",NA,"Dicrotophos","OPP, EPA HHBP","","141-66-2","","","","","","3150","—","6.35","0.99","—","—","","","0.99","8","",NA,"","","","","0.025","0.25","0.13671875"
225,"",62,"Dieldrin","Table 40, 20","","60571","y","0.0000053","0.0000054","0.24","0.056","","","","","","","—","—","0.0000053","1","",NA,"0.71","0.0019","5800","105","","",""
226,"",NA,"Diethanolamine Mefluidide","EPA HHBP","","53780-36-2","","","","","","","","","","","","—","—","0","13","",NA,"--","--","","","320000","3200000","1750000"
227,"",63,"Diethylphthalate","Table 40, 20","Diethyl Phthalate","84662","n","3800","4400","--","--","","","","","","","","","3800","1","",NA,"","","","","","",""
228,"0",NA,"Difenacoum","OPP","","56073-07-5","","","","","","32","—","305","—","320","—","","","32","5","",NA,"","","2500","70","","",""
229,"",NA,"Difenoconazole","EPA HHBP","","119446-68-3","","","","","","","","","","","","","","0","13","",NA,"","","-","581","","",""
230,"0",NA,"Difenzoquat","OPP, EPA HHBP","Difenzoquat methyl sulfate","43222-48-6","","","","","","23250","—","1265","—","630","120","—","—","120","10","",NA,"","","","","","",""
231,"0",NA,"Difethialone","OPP","","104653-34-1","","","","","","25.5","—","2.2","—","—","—","","","2.2","7","",NA,"","","-","140","","",""
232,"0",NA,"Diflubenzuron","OPP, EPA HHBP","","35367-38-5","","","","","","64500","100","0.0014","0.00025","200","190","—","—","0.00025","8","",NA,"","","33000","1820","","",""
233,"",NA,"Diflufenzopyr Sodium","EPA HHBP","","109293-98-3","","","","","","","","","","","","—","—","0","13","",NA,"","","24750","350","","",""
234,"0",NA,"Dimethenamid","OPP, EPA HHBP","Dimethenamid-P","163515-14-8","","","","","","3150","300","6000","1020","14","8.9","—","—","8.9","10","",NA,"","","-","153","","",""
235,"",NA,"Dimethipin","EPA HHBP","","55290-64-7","","","","","","","","","","","","","","0","13","",NA,"","","130","15","","",""
236,"9",NA,"Dimethoate","OPP, EPA HHBP","","60-51-5","","","","","","3100","430","21.5","0.5","84","—","—","—","0.5","8","",NA,"","","-","700","","",""
237,"",NA,"Dimethomorph","EPA HHBP","","110488-70-5","","","","","","","","","","","","","","0","13","",NA,"--","--","","","8000","80000","43750"
238,"",65,"Dimethylphenol 2,4","Table 40, 20","","105679","n","76","85","--","--","","","","","","","—","—","76","1","",NA,"--","--","","","4000000","40000000","21875000"
239,"",64,"Dimethylphthalate","Table 40, 20","Dimethyl Phthalate","131113","n","84000","110000","--","--","","","","","","","","","84000","1","",NA,"--","--","","","40000","400000","218750"
240,"",66,"Di-n-butyl Phthalate","Table 40, 20","","84742","n","400","450","--","--","","","","","","","","","400","1","",NA,"--","--","","","800","8000","4375"
241,"",67,"Dinitrophenol 2,4","Table 40, 20","","51285","n","62","530","--","--","","","","","","","","","62","1","",NA,"--","--","","","800","8000","4375"
242,"",68,"Dinitrophenols","Table 40, 20","","25550587","n","62","530","--","--","","","","","","","","","62","1","",NA,"","","1320","26","","",""
243,"",NA,"Dinocap","EPA HHBP","","39300-45-3","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
244,"",NA,"Dinoseb","Table 40, 20","","","","","","","","","","","","","","","","0","13","",NA,"","","12500","140","","",""
245,"",NA,"Dinotefuran","EPA HHBP","","165252-70-0","","","","","","","","","","","","","","0","13","7",NA,"--","--","","","2.56E-06","2.56E-05","1.40E-05"
246,"",70,"Dioxin (2,3,7,8-TCDD)","Table 40, 20","","1746016","y","5.10E-10","5.10E-10","--","--","","","","","","","","","5.10E-10","1","",NA,"","","-","700","","",""
247,"",NA,"Diphenylamine","EPA HHBP","","122-39-4","","","","","","","","","","","","","","0","13","0.00003",NA,"--","--","","","0.5","5","2.734375"
248,"",71,"Diphenylhydrazine 1,2","Table 40, 20","","122667","y","0.014","0.02","--","--","","","","","","","","","0.014","1","",NA,"","","","","","",""
249,"",NA,"Diquat","Table 40, 20","","","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
250,"0",NA,"Diquat dibromide","OPP","","85-00-7","","","","","","7400","122","385","< 36","9.4","0.75","","","0.75","10","20",NA,"","","1000","210","","",""
251,"",NA,"Disodium methanearsonate","EPA HHBP","","144-21-8","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
252,"9",NA,"Disulfoton","OPP","","298-04-4","","","","","","19.5","4","1.95","0.01","—","—","—","—","0.01","8","",NA,"","","","","","",""
253,"0",NA,"Disulfoton sulfone","OPP","","6/5/2497","","","","","","> 4,600","—","17.5","0.14","—","—","","","0.14","8","",NA,"","","","","","",""
254,"8",NA,"Disulfoton sulfoxide","OPP","","- -","","","","","","30000","—","32","1.53","—","—","—","—","1.53","8","",NA,"","","660","42","","",""
255,"",NA,"Dithianon","EPA HHBP","","3347-22-6","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
256,"10",NA,"Diuron","OPP","","330-54-1","","","","","","200","26","80","200","2.4","15","—","—","2.4","9","",NA,"","","-","140","","",""
257,"0",NA,"Dodine","OPP, EPA HHBP","","10/3/2439","","","","","","285","99","8.9","7.3","0.95","—","","","0.95","9","",NA,"","","990","49","","",""
258,"",NA,"d-Phenothrin (Sumithrin)","EPA HHBP","","26002-80-2","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
259,"0",NA,"Dyes Acids","OPP","","","","","","","","> 48,000","> 96,000","> 48,500","—","—","—","—","—","0","13","",NA,"","","5000","980","","",""
260,"",NA,"Ecolyst","EPA HHBP","","274671-61-3","","","","","","","","","","","","","","0","13","",NA,"","","3","0.5","","",""
261,"",NA,"Emamectin Benzoate","EPA HHBP","","137512-74-4","","","","","","","","","","","","—","—","0","13","",NA,"","","150","42","","",""
262,"",72,"Endosulfan","Table 40, 20","","115297","","--","--","0.22","0.056","0.05","0.11","0.3","0.01","428","—","","","0.01","8","",NA,"0.034","0.0087","","","2400","24000","13125"
263,"",73,"Endosulfan I","Table 40, 20","Endosulfan Alpha","959988","n","8.5","8.9","0.22","0.056","","","","","","","","","8.5","1","",NA,"0.034","0.0087","","","2400","24000","13125"
264,"",74,"Endosulfan II","Table 40, 20","Endosulfan Beta","33213659","n","8.5","8.9","0.22","0.056","","","","","","","0.22","0.056","8.5","1","",NA,"0.034","0.0087","","","2400","24000","13125"
265,"",75,"Endosulfan Sulfate","Table 40, 20","","1031078","n","8.5","8.9","--","--","1.9","—","150","—","—","—","","","1.9","5","",NA,"","","","","","",""
266,"",NA,"Endothall","Table 40, 20","","","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
267,"0",NA,"Endothall (acid)","OPP","","145-73-3","","","","","","24500","1300","46000","< 2,200","—","—","—","—","1300","6","100",NA,"","","","","","",""
268,"0",NA,"Endothall (dipotassium salt)","OPP","","145-73-3","","","","","","4576","1790","31900","—","—","610","","","610","10","",NA,"","","","","","",""
269,"0",NA,"Endothall (N,N-dimethylalkylamine salt)","OPP","","145-73-3","","","","","","7.5","56","6","2.3","2.3","740","—","—","2.3","8","",NA,"","","","","120","1200","656.25"
270,"",76,"Endrin","Table 40, 20","","72208","n","0.024","0.024","0.086","0.036","","","","","","","—","—","0.0023","4","",NA,"0.037","0.0023","","","120","1200","656.25"
271,"",77,"Endrin Aldehyde","Table 40, 20","","7421934","n","0.03","0.03","--","--","","","","","","","—","—","0.03","1","2",NA,"","","","","","",""
272,"0",NA,"enol Spirotetramat degradate","OPP","","- -","","","","","","> 50,000","—","37450","—","> 100,000","5400","","","5400","10","",NA,"","","1650","140","","",""
273,"",NA,"Epoxiconazole","EPA HHBP","","133855-98-8","","","","","","","","","","","","","","0","13","",NA,"","","2000","350","","",""
274,"0",NA,"EPTC","OPP, EPA HHBP","EPTC (Eptam)","759-94-4","","","","","","7000","—","3245","810","1400","5600","—","—","810","8","",NA,"","","300","56","","",""
275,"0",NA,"Esbiol","OPP, EPA HHBP","S-Bioallethrin (Esbiol)","28434-00-6","","","","","","3.95","—","—","—","—","—","—","—","3.95","5","",NA,"","","","","","",""
276,"0",NA,"Esbiothrin","OPP","","84030-86-4","","","","","","—","—","4.45","—","—","—","—","—","4.45","7","",NA,"","","18","13","","",""
277,"9",NA,"Esfenvalerate","OPP, EPA HHBP","","66230-04-4","","","","","","0.035","0.035","0.025","0.017","—","—","—","—","0.017","8","",NA,"","","9900","385","","",""
278,"",NA,"Ethaboxam","EPA HHBP","","162650-77-3","","","","","","","","","","","","—","—","0","13","",NA,"","","24750","280","","",""
279,"0",NA,"Ethalfluralin","OPP, EPA HHBP","","55283-68-6","","","","","","16","0.4","30","24","25","—","","","0.4","6","",NA,"","","-","31430","","",""
280,"",NA,"Ethametsulfuron","EPA HHBP","","97780-06-8","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
281,"0",NA,"ESA (CGA-354743) S-Metolachlor degradate","OPP","","- -","","","","","","21500","—","54000","—","—","43000","","","21500","5","",NA,"","","","","","",""
282,"0",NA,"Ethane sulfonic acid Alachlor degradate","OPP","","- -","","","","","","52000","—","52000","—","—","—","","","52000","5","",NA,"","","","","","",""
283,"8",NA,"Ethanesulfonic acid (ESA) Acetochlor degradate","OPP","","187022-11-3","","","","","","> 90,000","—","> 62,500","—","9900","—","—","—","9900","9","",NA,"","","600","420","","",""
284,"0",NA,"Ethephon","OPP, EPA HHBP","","16672-87-0","","","","","","44000","—","15850","17000","23500","2500","—","—","2500","10","",NA,"","","9900","1980","","",""
285,"",NA,"Ethofumesate","EPA HHBP","","26225-79-6","","","","","","","","","","","","—","—","0","13","",NA,"","","76","10","","",""
286,"0",NA,"Ethoprop","OPP, EPA HHBP","Ethoprophos","13194-48-4","","","","","","150","24","22","0.8","8400","—","0","0","0.8","8","",NA,"","","300","140","","",""
287,"",NA,"Ethoxyquin","EPA HHBP","","91-53-2","","","","","","","","","","","","","","0","13","",NA,"","","3","0.2","","",""
288,"",NA,"Ethyl Parathion","EPA HHBP","","56-38-2","","","","","","","","","","","","—","—","0","13","",NA,"--","--","","","40000","400000","218750"
289,"",78,"Ethylbenzene","Table 40, 20","","100414","n","160","210","--","--","","","","","","","","","160","1","",NA,"","","1000","315","","",""
290,"",NA,"Ethylene Chlorohydrin","EPA HHBP","","107-07-3","","","","","","","","","","","","","","0","13","700",NA,"","","","","","",""
291,"",NA,"Ethylene dibromide","Table 40, 20","","","","","","","","","","","","","","","","0","13","",NA,"","","-","259","","",""
292,"0",NA,"Etofenprox","OPP, EPA HHBP","","80844-07-1","","","","","","1.35","23","0.4","0.17","> 18.8","> 26","","","0.17","8","0.05",NA,"","","-","322","","",""
293,"",NA,"Etoxazole","EPA HHBP","","153233-91-1","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
294,"8",NA,"ETU Mancozeb and Maneb degradate","OPP","","- -","","","","","","> 251,000","37320","134500","2","—","—","—","—","2","8","",NA,"","","-","10","","",""
295,"",NA,"Famoxadone","EPA HHBP","","131807-57-3","","","","","","","","","","","","","","0","13","",NA,"","","12500","198","","",""
296,"",NA,"Fenamidone","EPA HHBP","","161326-34-7","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
297,"0",NA,"Fenamiphos","OPP","","22224-92-6","","","","","","4.75","3.8","0.95","0.12","—","—","","","0.12","8","",NA,"","","-","42","","",""
298,"0",NA,"Fenarimol","OPP, EPA HHBP","","60168-88-9","","","","","","450","180","3400","113","100","—","","","100","9","",NA,"","","1000","350","","",""
299,"",NA,"Fenazaquin","EPA HHBP","","120928-09-8","","","","","","","","","","","","—","—","0","13","",NA,"","","9900","210","","",""
300,"",NA,"Fenbuconazole","EPA HHBP","","114369-43-6","","","","","","","","","","","","—","—","0","13","",NA,"","","-","119","","",""
301,"0",NA,"Fenbutatin-oxide","OPP, EPA HHBP","","13356-08-6","","","","","","0.85","0.31","15.5","16","—","—","","","0.31","6","",NA,"","","-","1190","","",""
302,"",NA,"Fenhexamid","EPA HHBP","","126833-17-8","","","","","","","","","","","","","","0","13","",NA,"","","1250","9","","",""
303,"0",NA,"Fenitrothion","OPP, EPA HHBP","","122-14-5","","","","","","860","46","1.15","0.087","—","—","—","—","0.087","8","",NA,"","","10560","18","","",""
304,"",NA,"Fenoxaprop-ethyl","EPA HHBP","","66441-23-4","","","","","","","","","","","","","","0","13","",NA,"","","","","","",""
305,"0",NA,"Fenoxaprop-p-ethyl","OPP","","71283-80-2","","","","","","155","22","> 529","—","430","> 3,000","—","—","22","6","",NA,"","","2000","-","","",""
306,"0",NA,"Fenoxycarb","OPP, EPA HHBP","","72490-01-8","","","","","","800","48","200","0.0016","—","—","","","0.0016","8","",NA,"","","600","175","","",""
307,"",NA,"Fenpropathrin","EPA HHBP","","39515-41-8","","","","","","1.1","0.091","0.265","0.064","—","—","—","—","0.064","8","",NA,"","","600","175","","",""
308,"0",NA,"Fenpropathrin","OPP","","64257-84-7","","","","","","1.1","0.091","0.265","0.064","—","—","—","—","0.064","8","",NA,"","","4950","224","","",""
309,"",NA,"Fenpropimorph","EPA HHBP","","67564-91-4","","","","","","","","","","","","—","—","0","13","",NA,"","","1650","70","","",""
310,"",NA,"Fenpyroximate","EPA HHBP","","134098-61-6","","","","","","","","","","","","—","—","0","13","",NA,"","","7","0.49","","",""
311,"8",NA,"Fenthion","OPP, EPA HHBP","","55-38-9","","","","","","415","7.5","2.6","0.013","400","> 2,800","","","0.013","8","",NA,"","","140","105","","",""
312,"",NA,"Ferbam","EPA HHBP","","14484-64-1","","","","","","","","","","","","","","0","13","",NA,"","","250","1","","",""
313,"0",NA,"Fipronil","OPP, EPA HHBP","","120068-37-3","","","","","","41.5","6.6","0.11","0.011","140","> 100","—","—","0.011","8","",NA,"","","5000","91","","",""
314,"",NA,"Flazasulfuron","EPA HHBP","","104040-78-0","","","","","","","","","","","","","","0","13","",NA,"","","-","280","","",""
315,"",NA,"Flonicamid","EPA HHBP","","158062-67-0","","","","","","","","","","","","—","—","0","13","",NA,"","","-","350","","",""
316,"0",NA,"Florasulam","OPP, EPA HHBP","","145701-23-1","","","","","","> 50,000","119000","> 146,000","38900","3.45","1.18","","","1.18","10","",NA,"","","16500","52","","",""
317,"",NA,"Fluazifop","EPA HHBP","","69806-50-4","","","","","","","","","","","","","","0","13","",NA,"","","16500","52","","",""
318,"",NA,"Fluazifop-P-Butyl","EPA HHBP","","79241-46-6","","","","","","","","","","","","—","—","0","13","",NA,"","","2310","77","","",""
319,"0",NA,"Fluazinam","OPP, EPA HHBP","","79622-59-6","","","","","","18","0.69","90","68","9200","—","","","0.69","6","",NA,"","","9950","168","","",""
320,"0",NA,"Flubendiamide","OPP, EPA HHBP","","272451-65-7","","","","","","> 32.55","60.5","> 27.4","41.5","> 69.3","> 54.6","","","41.5","8","",NA,"","","99000","2520","","",""
321,"",NA,"Flucarbazone-sodium","EPA HHBP","","181274-17-9","","","","","","","","","","","","—","—","0","13","",NA,"","","33000","210","","",""
322,"0",NA,"Fludioxonil","OPP, EPA HHBP","","131341-86-1","","","","","","235","19","450","< 19","70","> 1,000","—","—","19","6","",NA,"","","17","12","","",""
323,"",NA,"Flufenacet (Thiaflumide)","EPA HHBP","","142459-58-3","","","","","","","","","","","","","","0","13","",NA,"","","-","263","","",""
324,"",NA,"Flufenoxuron","EPA HHBP","","101463-69-8","","","","","","","","","","","","0","0","0","13","",NA,"","","-","2800","","",""
325,"",NA,"Flufenpyr-ethyl","EPA HHBP","","188489-07-8","","","","","","","","","","","","","","0","13","",NA,"","","16500","-","","",""
326,"",NA,"Flumetralin","EPA HHBP","","62924-70-3","","","","","","","","","","","","","","0","13","",NA,"","","-","7000","","",""
327,"0",NA,"Flumetsulam","OPP, EPA HHBP","","98967-40-9","","","","","","> 150,000","197000","125000","111000","3.21","3.1","","","3.1","10","",NA,"","","-","7000","","",""
328,"0",NA,"Flumiclorac-pentyl","OPP, EPA HHBP","Flumiclorac pentyl","87546-18-7","","","","","","550","—","> 19,000","—","—","—","","","550","5","",NA,"","","990","140","","",""
329,"",NA,"Flumioxazin","EPA HHBP","","103361-09-7, 141490-50-8","","","","","","","","","","","","—","—","0","13","",NA,"","","","","","",""
330,"0",NA,"Fluometuron","OPP","","2164-17-2","","","","","","320","—","110","—","30","220","—","—","30","9","",NA,"","","-","1400","","",""
331,"",NA,"Fluopicolide","EPA HHBP","","239110-15-7","","","","","","","","","","","","","","0","13","",NA,"--","--","","","16000","160000","87500"
332,"",80,"Fluoranthene","Table 40, 20","Fluoranthene","206440","n","14","14","--","--","","","","","","","—","—","14","1","",NA,"--","--","","","16000","160000","87500"
333,"",81,"Fluorene","Table 40, 20","Fluorene","86737","n","390","530","--","--","","","","","","","","","390","1","",NA,"","","","","","",""
334,"",NA,"Fluoride","Table 40, 20","","","","","","","","","","","","","","","","0","13","",NA,"","","-","105","","",""
335,"",NA,"Fluoxastrobin","EPA HHBP","","361377-29-9","","","","","","","","","","","","","","0","13","4000",NA,"","","41250","1050","","",""
336,"0",NA,"Fluridone","OPP, EPA HHBP","","59756-60-4","","","","","","2800","480","650","—","—","—","","","480","6","",NA,"","","-","7000","","",""
337,"",NA,"Fluroxypyr acid","OPP, EPA HHBP","Fluroxypyr","69377-81-7","","","","","","7150","—","> 50,000","—","> 100,000","—","","","7150","5","",NA,"","","-","7000","","",""
338,"0",NA,"Fluroxypyr MHE","OPP, EPA HHBP","Fluroxypyr","81406-37-3","","","","","","6600","—","> 54.5","60","290","> 2,300","—","—","60","8","",NA,"","","3300","105","","",""
339,"0",NA,"Flurprimidol","OPP, EPA HHBP","","56425-91-3","","","","","","8600","944","5900","2960","840","10400","—","—","840","9","",NA,"","","660","14","","",""
340,"",NA,"Flusilazole","EPA HHBP","","85509-19-9","","","","","","","","","","","","—","—","0","13","",NA,"","","-","7","","",""
341,"",NA,"Fluthiacet methyl","EPA HHBP","","117337-19-6","","","","","","","","","","","","—","—","0","13","",NA,"","","-","3500","","",""
