"StationUse_RecordID","STATION","DESCRIPTION","DEC_LAT","DEC_LONG","RIVER_MILE","STREAM_LLID","RIVER_MILE_LAKE","LAKE_LLID","LAKE_NAME","GIS_Source_LAKE","USE_OtherParms","USE_Final","GIS_Source","HUC_3rd_Field","Bio_Macro_Data","CASCADE_LAKES","MARINE_WATERS","STRATIFIED_Natural_Lake","ESTUARY","LAKE","MARINE_COASTAL_REC","Enterro_Data","DHS_Station_Type","DHS_Station_Type_Num","EPA_BEACH_ID","BEACH_NAME","ELEVATION_FT","WRD_Basin","Comments","Reviewed_Permit_Writers","RIVER_MILE_2004","LLID_2004","USE_Bacteria","Salinity_Max","Conductivity_Max","PondResSmall","Stream_Name","MATRIX","TRIBAL","AGENCY","AGENCY_ID","UsabilityComments"
5802,"34794","Big Elk Creek at Bridge 0.9 miles above Jackass Creek (Yaquina)","44.554400000000001","-123.7649","15.1","1238753446217",NA,NA,NA,NA,1,1,NA,"Northern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,141,"Mid Coast",NA,0,"0.0",NA,1,NA,"84.0",0,"Elk Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5803,"12567","Little Deschutes River at State Park Road","43.770499999999998","-121.4761","13.5","1214536438546",NA,NA,NA,NA,1,1,NA,"Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4177,"Deschutes",NA,0,"13.5",1214536438546,1,NA,"65.0",0,"Little Deschutes River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5804,"29879","Shady Creek","43.619853999999997","-122.188974","1.3999999999999999","1221961436375",NA,NA,NA,NA,1,1,NA,"Willamette",1,0,0,0,0,0,0,0,NA,NA,NA,NA,4774,"Willamette",NA,0,"1.3999999999999999",1221961436375,1,NA,"40.0",0,"Shady Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5805,"34826","Willow Creek Spring 2","44.671900000000001","-121.2234","0.95999999999999996","1208087445078",NA,NA,NA,NA,1,1,"100K","Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1627,"Deschutes","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"0.0",NA,1,NA,"409.0",0,"Willow Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5806,"24249","Umatilla 3 (PWSID 00372) Hermiston, Well 4","45.847999999999999","-119.28400000000001",NA,NA,NA,NA,NA,NA,0,0,NA,"Middle Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Umatilla","Drinking water.",0,NA,NA,0,NA,NA,0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5807,"31886","Elk Creek at River Mile 37.5","43.594495000000002","-123.188354","37.079999999999998","1235674436327",NA,NA,NA,NA,1,1,"100K","Southern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,528,"Umpqua",NA,0,"0.0",NA,1,NA,"187.0",0,"Elk Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5808,"23845","Star Gulch tributary at River Mile 0.39 (Applegate, Rogue)","42.174591999999997","-123.11932","0.29999999999999999","1231241421719",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,2448,"Rogue",NA,0,"0.29999999999999999",1231241421719,1,NA,"119.0",0,"1918 Gulch","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5809,"26052","16444 Bitterbrush Road (LE)","43.710369999999998","-121.504187","0.0",NA,NA,NA,NA,NA,0,0,"100K","Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4213,"Deschutes","Septic effluent samples only. Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,NA,NA,0,NA,"691.0",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5810,"13386","Isthmus Slough at Marker #43","43.364167000000002","-124.208889","1.5","1241999433841",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,1,0,1,0,NA,NA,NA,NA,0,"South Coast","Estuary Source 4.",0,"1.5",1241999433841,1,"31.399999999999999","46600.0",0,"Isthmus Slough","ES",0,"Oregon Department of Environmental Quality","ODEQ",NA
5811,"21807","Necanicum R at LLID RM 10.0","45.912013999999999","-123.8835","10.0","1239277460111",NA,NA,NA,NA,1,1,NA,"Northern Oregon Coastal",1,0,0,0,0,0,0,0,NA,NA,NA,NA,95,"North Coast",NA,0,"10.0",1239277460111,1,NA,"57.0",0,"Necanicum River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5834,"30349","Clatskanie River","45.90166","-123.00660999999999","23.699999999999999","1232215461207",NA,NA,NA,NA,1,1,NA,"Lower Columbia",1,0,0,0,0,0,0,0,NA,NA,NA,NA,948,"North Coast",NA,0,"23.699999999999999",1232215461207,1,NA,"70.0",0,"Clatskanie River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5835,"14554","DEQ236, Jack Defoe, 50186 Collar Drive","43.624721999999998","-121.604167",NA,NA,NA,NA,NA,NA,0,0,NA,"Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Deschutes","Groundwater.",0,NA,NA,0,NA,"82.0",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5812,"12868","A-3 Channel downstream of Bertelsen Road (end of industrial park)","44.055556000000003","-123.168611","1.8700000000000001","1231973440631",NA,NA,NA,NA,1,1,"24K","Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,390,"Willamette","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"1.3999999999999999",1231973440631,1,NA,"327.0",0,"Amazon Diversion Canal","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5813,"30180","Drain 1C at Hwy 39, upstream of Lost River","42.140510999999996","-121.69541700000001","0.79000000000000004","1216885421327",NA,NA,NA,NA,1,1,"24K","Klamath",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4082,"Klamath","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"0.0",NA,1,NA,"296.0",0,"Number One Drain","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5814,"31717","Columbia River at Columbia City, OR, left bank","45.907899999999998","-122.813","79.890000000000001","1240483462464",NA,NA,NA,NA,1,1,"100K","Lower Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,"North Coast",NA,0,NA,NA,1,NA,"134.0",0,"Columbia River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5815,"28491","Salt Creek at River Mile 1.5","45.143329999999999","-123.20667","2.5","1232202451614",NA,NA,NA,NA,1,1,NA,"Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,108,"Willamette","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"2.5",1232202451614,1,NA,"322.0",0,"Salt Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5816,"26001","Muddy Creek, Finley National Wildlife Refuge","44.422241","-123.31783900000001","17.800000000000001","1233020445206",NA,NA,NA,NA,1,1,NA,"Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,249,"Willamette",NA,0,"17.800000000000001",1233020445206,1,NA,"96.0",0,"Muddy Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5817,"34093","Sandy River above Marmot Dam river mile 30.1","45.399729999999998","-122.13119","29.829999999999998","1224071455697",NA,NA,NA,NA,1,1,"100K","Lower Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,722,"Sandy",NA,0,"0.0",NA,1,NA,NA,0,"Sandy River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5818,"33140","Miami River at road mile 0.5","45.566642999999999","-123.879463","2.7599999999999998","1239230455475",NA,NA,NA,NA,1,1,"100K","Northern Oregon Coastal",0,0,0,0,1,0,0,0,NA,NA,NA,NA,7,"North Coast","Estuary determined by salinty or conductivity and verified by GIS.",0,"0.0",NA,1,NA,NA,0,"Miami River","ES",0,"Oregon Department of Environmental Quality","ODEQ",NA
5819,"23865","Long Tom River tributary at River Mile 0.25 (Willamette)","44.197870999999999","-123.468386","56.0","1232400443847",NA,NA,NA,NA,1,1,NA,"Willamette",1,0,0,0,0,0,0,0,NA,NA,NA,NA,722,"Willamette",NA,0,"56.0",1232400443847,1,NA,"49.0",0,"Long Tom River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5820,"31368","Lewis and Clark River","45.978020000000001","-123.77967","0.69999999999999996","1237837459866",NA,NA,NA,NA,1,1,NA,"Lower Columbia",1,0,0,0,0,0,0,0,NA,NA,NA,NA,614,"North Coast",NA,0,"0.69999999999999996",1237837459866,1,NA,"99.0",0,"Unnamed Stream","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5821,"25786","Crooked Creek Fish Hatchery at Secondary Ponds","42.647758000000003","-121.944703","5.7000000000000002","1219457425985",NA,NA,NA,NA,1,1,NA,"Klamath",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4318,"Klamath",NA,0,"5.7000000000000002",1219457425985,1,NA,"85.0",0,"Crooked Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5822,"21873","Peat Creek 0.2 miles on FSR 170","44.967588999999997","-122.038342","0.40000000000000002","1220441449648",NA,NA,NA,NA,1,1,NA,"Willamette",1,0,0,0,0,0,0,0,NA,NA,NA,NA,2077,"Willamette",NA,0,"0.40000000000000002",1220441449648,1,NA,"63.0",0,"Peat Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5823,"34442","Rose Creek upstream of Sieben Parkway","45.495780000000003","-122.52064","9999999999999.0","9999999999999",NA,NA,NA,NA,0,0,"100K","Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,223,"Willamette","INCORRECT LAT/LONG LOCATION INFORMATION NOT VEFIFIED.",0,"0.0",NA,0,NA,"150.0",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5824,"33924","Soap Creek at Sulpher Springs Road near Sulphur Springs (Luckiamute, Willamette)","44.6432","-123.3228","15.369999999999999","1231630447305",NA,NA,NA,NA,1,1,"100K","Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,577,"Willamette",NA,0,"0.0",NA,1,NA,NA,0,"Soap Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5825,"10661","Long Tom River at Elmira","44.060443999999997","-123.355056","33.200000000000003","1232400443847",NA,NA,NA,NA,1,1,NA,"Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,377,"Willamette",NA,0,"33.200000000000003",1232400443847,1,NA,"80.0",0,"Long Tom River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5826,"24014","OR2000-0032, Columbia River 32","46.2592","-124.02133000000001","1.3999999999999999","1240483462464",NA,NA,NA,NA,1,1,NA,"Lower Columbia",0,0,0,0,1,0,1,0,NA,NA,NA,NA,-666,"North Coast","Estuary Source 3.",0,"1.3999999999999999",1240483462464,1,"31.300000000000001",NA,0,"Columbia River","ES",0,"Oregon Department of Environmental Quality","ODEQ",NA
5827,"25268","Creek just downstream of boat ramp upstream of Beaver Creek","0.0","0.0","0.0",NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-666,NA,"No lat/long.",0,"0.0",NA,0,NA,"97.5",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5828,"16761","Klamath Falls Landfill Monitoring Well MW-2","42.232500000000002","-121.751667",NA,NA,NA,NA,NA,NA,0,0,NA,"Klamath",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Klamath","Groundwater. Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,NA,NA,0,NA,"408.0",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5829,"34073","Wildcat Creek near mouth at Highway 26 bridge","45.376260000000002","-122.08298000000001","0.35999999999999999","1220890453783",NA,NA,NA,NA,1,1,"100K","Lower Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,883,"Sandy",NA,0,"0.0",NA,1,NA,NA,0,"Wildcat Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5830,"25417","Cable Creek, North Fork","45.05124","-118.66491000000001","5.5","1187587450825",NA,NA,NA,NA,1,1,NA,"John Day",1,0,0,0,0,0,0,0,NA,NA,NA,NA,4639,"John Day",NA,0,"5.5",1187587450825,1,NA,"111.0",0,"North Fork Cable Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5831,"28726","Cascade Canal at Hwy 140","42.395699999999998","-122.2833","1.8999999999999999","1223125423877",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,5063,"Rogue","Surface water. Canal.",1,"1.8999999999999999",1223125423877,1,NA,"26.0",0,"Cascade Canal","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5832,"11414","Trout Creek at mouth","45.570639","-121.619556","0.10000000000000001","1216207455707",NA,NA,NA,NA,1,1,NA,"Middle Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1047,"Hood","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"0.10000000000000001",1216207455707,1,NA,"295.0",0,"Trout Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5833,"26519","DEQ Lab Organic sink-solids area","45.513399999999997","-122.68671999999999",NA,NA,NA,NA,NA,NA,0,0,NA,"Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Willamette","Drinking water. Industrial Effluent.",0,NA,NA,0,NA,"1.0",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5836,"25617","Amazon Creek Diversion Channel at Fir Butte Road","44.080329999999996","-123.23469","3.8700000000000001","1233006441081",NA,NA,NA,NA,1,1,"24K","Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,377,"Willamette","Incorrect LLID used in 2004; corrected LLID and RIVER_MILE fields. This diversion canal is only present on StreamNet 24K (not 100K) GIS layer. Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"2.5",1232967441013,1,NA,"266.0",0,"Amazon Creek Diversion Channel","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5837,"24598","17346 Mink Court (STE)","43.794677","-121.45947200000001","0.0",NA,NA,NA,NA,NA,0,0,"100K","Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4180,"Deschutes","Septic effluent samples only. Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,NA,NA,0,NA,"1147.0",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5838,"11614","Bear Creek at Dead Indian Road (Ashland)","42.193083000000001","-122.65136099999999","27.300000000000001","1229691424326",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1880,"Rogue","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"27.300000000000001",1229691424326,1,NA,"1842.0",0,"Bear Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5839,"11849","Salmonberry River at mouth","45.750360999999998","-123.65177799999999","0.10000000000000001","1236543457505",NA,NA,NA,NA,1,1,NA,"Northern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,253,"North Coast",NA,0,"0.10000000000000001",1236543457505,1,NA,"74.799999999999997",0,"Salmonberry River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5840,"34728","Nye Beach at war memorial west of Olive Street","44.636499999999998","-124.0646","136.16","1240637462558",NA,NA,NA,NA,1,1,NA,NA,0,0,1,0,0,0,1,1,"Marine",1,"OR578688","Nye Beach",0,"Mid Coast","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"0.0",NA,1,"34.600000000000001",NA,0,"Pacific Ocean","SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5841,"14605","DEQ223, Jim Calice, 17231 Downey, Bend","43.856667000000002","-121.464444",NA,NA,NA,NA,NA,NA,0,0,NA,"Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Deschutes","Groundwater.",0,NA,NA,0,NA,"154.0",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5842,"30933","Sunset Bay, seep creek","43.334119999999999","-124.37179","236.46000000000001","1240637462558",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,1,0,0,0,1,1,"Marine",1,"OR110179","Sunset Bay State Park Beach",13,"South Coast","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"16.0",1242091436511,1,NA,"252.0",0,"Pacific Ocean","SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5843,"29310","Mill Beach at south side of Seastack Creek, Brookings","42.048630000000003","-124.29122","350.75999999999999","1240637462558",NA,NA,NA,NA,1,1,"100K","Southern Oregon Coastal",0,0,1,0,0,0,1,1,"Marine",1,"OR953303","Mill Beach",20,"South Coast","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"0.0",NA,1,"35.0","270.0",0,"Pacific Ocean","SW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5844,"35261","Colulmbia River Mid Channel at Marker 34 above Spring Creek Fish Hatchery","45.722999999999999","-121.5449","163.87","1240483462464",NA,NA,NA,NA,1,1,NA,"Middle Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,75,"Hood",NA,0,"0.0",NA,1,NA,NA,0,"Columbia River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5845,"26605","Powder River at River Mile 97.4 (Snake), downstream of Coffey Lane bridge, Haines","44.911020000000001","-117.92663","98.799999999999997","1170508447455",NA,NA,NA,NA,1,1,NA,"Middle Snake-Powder",0,0,0,0,0,0,0,0,NA,NA,NA,NA,3311,"Powder","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"98.799999999999997",1170508447455,1,NA,"309.0",0,"Powder River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5846,"20705","Coos River","43.369999999999997","-124.14749999999999","3.7999999999999998","1241999433842",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,"South Coast","Estuary Source 4.",0,"3.7999999999999998",1241999433842,1,NA,NA,0,"Coos River","ES",0,"Oregon Department of Environmental Quality","ODEQ",NA
5847,"25033","Pony Slough, downstream of Pony Dam (Coos Bay)","43.380488999999997","-124.239925","2.1000000000000001","1242319434076",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,1,0,0,0,NA,NA,NA,NA,20,"South Coast","Estuary determined by salinty or conductivity and verified by GIS.",0,"2.1000000000000001",1242319434076,1,NA,NA,0,"Pony Creek","ES",0,"Oregon Department of Environmental Quality","ODEQ",NA
5848,"25182","South Umpqua River Brockway Road Bridge","43.097839999999998","-123.42961","26.699999999999999","1234460432680",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,502,"Umpqua",NA,0,"26.699999999999999",1234460432680,1,NA,"171.0",0,"South Umpqua River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5849,"26805","South Fork McKenzie River","43.959828999999999","-122.056821","24.100000000000001","1222958441593",NA,NA,NA,NA,1,1,NA,"Willamette",1,0,0,0,0,0,0,0,NA,NA,NA,NA,2720,"Willamette",NA,0,"24.100000000000001",1222958441593,1,NA,"59.0",0,"South Fork McKenzie River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5850,"35478","Anderson Creek Near Mouth At Drift Creek Rd (Drift Cr, Siletz Bay)","44.923400000000001","-123.9819","0.40000000000000002","1239893449224",NA,NA,NA,NA,1,1,NA,"Northern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,26,"Mid Coast",NA,0,"0.0",NA,1,NA,"82.0",0,"Anderson Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5851,"11597","Klamath River at Miller Island Boat Ramp","42.147221999999999","-121.847611","241.68000000000001","1221913420005",NA,NA,NA,NA,1,1,NA,"Klamath",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4091,"Klamath",NA,0,"37.200000000000003",1221913420005,1,NA,"184.0",0,"Klamath River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
5852,"34173","Phelps Creek between Country Club Road and I-84 (Columbia)","45.709000000000003","-121.5565","1.0900000000000001","1215645457166",NA,NA,NA,NA,1,1,"100K","Middle Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,345,"Hood",NA,0,"0.0",NA,1,NA,"115.0",0,"Phelps Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6902,"23158","Black Butte Rance STP effluent, irrigation area at lower end, discharge point","44.374457999999997","-121.64295",NA,NA,NA,NA,NA,NA,0,0,NA,"Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Deschutes","Municipal Effluent. Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",1,NA,NA,0,NA,"215.0",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6903,"32573","Hood River downstream of Neil Creek, right bank","45.664409999999997","-121.52467","4.5800000000000001","1215067457204",NA,NA,NA,NA,1,1,"100K","Middle Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,292,"Hood",NA,0,"0.0",NA,1,NA,"127.0",0,"Hood River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6904,"24060","Meacham Creek at River Mile 16.7 (Umatilla)","45.496307999999999","-118.278114","17.300000000000001","1183604457023",NA,NA,NA,NA,1,1,NA,"Middle Columbia",1,0,0,0,0,0,0,0,NA,NA,NA,NA,2618,"Umatilla",NA,0,"17.300000000000001",1183604457023,1,NA,"87.0",0,"Meacham Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6901,"23917","Nohorn Creek, 8.1 miles on FSR 70 (Collawash, Clackamas, Willamette)","44.946221000000001","-122.192335","1.5","1221677449531",NA,NA,NA,NA,1,1,NA,"Willamette",1,0,0,0,0,0,0,0,NA,NA,NA,NA,2615,"Willamette",NA,0,"1.5",1221677449531,1,NA,"38.0",0,"Nohorn Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6905,"23015","Willow Creek 50 feet upstream of Heppner WWTP outfall","45.370666999999997","-119.57250000000001","54.399999999999999","1200159457949",NA,NA,NA,NA,1,1,NA,"Middle Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1867,"Umatilla","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",1,"54.399999999999999",1200159457949,1,NA,"357.0",0,"Willow Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6906,"11133","Neil Creek at Hwy 66 (Ashland)","42.185471999999997","-122.65213900000001","0.90000000000000002","1226659421944",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1916,"Rogue","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"0.90000000000000002",1226659421944,1,NA,"378.0",0,"Neil Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6907,"13555","Walluski River at Hwy 202","46.148277999999998","-123.7975","1.0","1238137461466",NA,NA,NA,NA,1,1,NA,"Lower Columbia",0,0,0,0,1,0,0,0,NA,NA,NA,NA,3,"North Coast","Estuary Source 3.",0,"1.0",1238137461466,1,"5.7999999999999998","5440.0",0,"Wallooskee River","ES",0,"Oregon Department of Environmental Quality","ODEQ",NA
6908,"25457","Calapooia River at Brownsville","44.390900000000002","-122.98439","35.299999999999997","1231108446399",NA,NA,NA,NA,1,1,NA,"Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,318,"Willamette",NA,0,"35.299999999999997",1231108446399,1,NA,"51.0",0,"Calapooia River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6909,"34445","North Fork Burnt River upstream of Hwy 7","44.668390000000002","-118.37733","20.039999999999999","1181903445028",NA,NA,NA,NA,1,1,"100K","Middle Snake-Powder",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4311,"Powder",NA,0,"0.0",NA,1,NA,"166.0",0,"North Fork Burnt River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6910,"23442","DEQ213, 16981 Sharp Drive","43.829419999999999","-121.47624",NA,NA,NA,NA,NA,NA,0,0,NA,"Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Deschutes","Groundwater.",0,NA,NA,0,NA,"113.0",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6911,"13171","Lenz Creek at Stadleman Drive Pump Station","45.628749999999997","-121.52202800000001","1.2","1215146456436",NA,NA,NA,NA,1,1,NA,"Middle Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,689,"Hood","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"1.2",1215146456436,1,NA,"980.0",0,"Lenz Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6912,"34070","Zig Zag River at mouth below new Highway 18 bridge","45.347099999999998","-121.94286","0.17000000000000001","1219454453487",NA,NA,NA,NA,1,1,"100K","Lower Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1391,"Sandy",NA,0,"0.0",NA,1,NA,NA,0,"Zigzag River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6913,"29985","Calapooia River","44.235978000000003","-122.46192000000001","69.180000000000007","1231108446399",NA,NA,NA,NA,1,1,NA,"Willamette",1,0,0,0,0,0,0,0,NA,NA,NA,NA,1575,"Willamette",NA,0,NA,NA,1,NA,"55.0",0,"Calapooia River","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6914,"11517","South Fork Bochsler Creek at Dominic Road","45.086027999999999","-122.75624999999999","2.2000000000000002","1227943450944",NA,NA,NA,NA,1,1,NA,"Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,213,"Willamette","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"2.2000000000000002",1227943450944,1,NA,"781.0",0,"Bochsler Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6915,"13148","Indian Creek at Union Avenue near Ppl power station","45.699083000000002","-121.51897200000001","0.46999999999999997","1215104457009",NA,NA,NA,NA,1,1,"100K","Middle Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,466,"Hood",NA,0,"0.5",1215104457009,1,NA,"166.0",0,"Indian Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6916,"24601","17186 Pintail Drive (STE)","43.821641999999997","-121.465281",NA,NA,NA,NA,NA,NA,0,0,"100K","Deschutes",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Deschutes","Septic effluent samples only. Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,NA,NA,0,NA,"953.0",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
6917,"11156","Rickreall Creek at Bowersville Road (Dallas)","44.919139000000001","-123.257222","10.699999999999999","1231136449288",NA,NA,NA,NA,1,1,NA,"Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,243,"Willamette","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"10.699999999999999",1231136449288,1,NA,"236.0",0,"Rickreall Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",NA
