"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasureMeasureValue","DrainageAreaMeasureMeasureUnitCode","ContributingDrainageAreaMeasureMeasureValue","ContributingDrainageAreaMeasureMeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasureMeasureValue","HorizontalAccuracyMeasureMeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasureMeasureValue","VerticalMeasureMeasureUnitCode","VerticalAccuracyMeasureMeasureValue","VerticalAccuracyMeasureMeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasureMeasureValue","WellDepthMeasureMeasureUnitCode","WellHoleDepthMeasureMeasureValue","WellHoleDepthMeasureMeasureUnitCode"
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP76","GP76","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579273200000003","-122.7556155",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP81","GP81","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579438699999997","-122.7556848",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP82","GP82","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579311099999998","-122.7557746",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4432261175510","PINE CREEK POND A","Lake, Reservoir, Impoundment","USGS-BRD ARMI Grazing effects study - C.Anderson",17050202,NA,"",NA,NA,"44.540437599999997","-117.9204909",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","4440.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4433121175539","PINE CREEK POND G","Lake, Reservoir, Impoundment","USGS-BRD-ARMI Grazing effects study  C.Anderson",17050202,NA,"",NA,NA,"44.553215000000002","-117.9285469",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","5180.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4433281175549","PINE CREEK POND I","Lake, Reservoir, Impoundment","USGS-BRD-ARMI Grazing effects study  C.Anderson",17050202,NA,"",NA,NA,"44.557659299999997","-117.9313248",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","5280.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4433311175509","PINE CREEK POND D","Lake, Reservoir, Impoundment","USGS-BRD-ARMI Grazing effects study C. Anderson",17050202,NA,"",NA,NA,"44.558492600000001","-117.92021370000001",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","4490.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4433331175508","PINE CREEK POND E","Lake, Reservoir, Impoundment","USGS-BRD-ARMI Grazing effects study  C.Anderson",17050202,NA,"",NA,NA,"44.559048099999998","-117.9199359",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","4500.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-443700117572600","BLACK MOUNTAIN MIDDLE POND, OR","Lake, Reservoir, Impoundment","USGS-BRD-ARMI Project  C.Anderson Dec. 2002",17050203,NA,"",NA,NA,"44.616546399999997","-117.958271",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","5240.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4437151175721","LOWER BLACK MOUNTAIN POND, OR","Lake, Reservoir, Impoundment","USGS-BRD-ARMI Grazing effects study   C.Anderson",17050203,NA,"",NA,NA,"44.620712900000001","-117.9568823",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","5100.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4437301175712","BLACK MOUNTAIN LITTLE POND","Lake, Reservoir, Impoundment","USGS-BRD-ARMI Grazing effects study  C.Anderson",17050203,NA,"",NA,NA,"44.624879499999999","-117.9543824",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","4900.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4440091182115","BURNT RIVER NW","Stream","USGS-BRD-ARMI Grazing effects study C.Anderson2002",17050202,NA,"",NA,NA,"44.669042699999999","-118.35522",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","4250.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4441061182518","PARKERVILLE","Stream","USGS-BRD-ARMI Grazing effects study  C.Anderson",17050202,NA,"",NA,NA,"44.684875300000002","-118.42272199999999",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","4840.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4441301181909","LOWER CAMP  CREEK","Stream","USGS-BRD-ARMI Grazing effects study  C.Anderson",17050202,NA,"",NA,NA,"44.691541899999997","-118.3202196",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","4300.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-4443281175624","ELK CREEK POND","Lake, Reservoir, Impoundment","USGS-BRD-ARMI Grazing effects study C.Anderson",17050203,NA,"",NA,NA,"44.7243207","-117.94105159999999",NA,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","4440.0","feet","10.0","feet","Interpolated from topographic map","NGVD29","US",41,"1",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD01","SPMD01","River/Stream","Rivermile 7.2",17090012,NA,"",NA,NA,"45.574952500000002","-122.73925920000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD02","SPMD02","River/Stream","Rivermile 7.2",17090012,NA,"",NA,NA,"45.574511899999997","-122.7398369",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD03","SPMD03","River/Stream","Rivermile 7.2",17090012,NA,"",NA,NA,"45.574066700000003","-122.7403839",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD04","SPMD04","River/Stream","Rivermile 7.2; Note: capped 2004",17090012,NA,"",NA,NA,"45.5763563","-122.73936569999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD05","SPMD05","River/Stream","Rivermile 7.1; Note: capped 2004",17090012,NA,"",NA,NA,"45.576956199999998","-122.7405746",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD06","SPMD06","River/Stream","Rivermile 7; Note: capped 2004",17090012,NA,"",NA,NA,"45.576866899999999","-122.74152580000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","4.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD07","SPMD07","River/Stream","Rivermile 7.1; Note: capped 2004",17090012,NA,"",NA,NA,"45.576236299999998","-122.74194900000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD08","SPMD08","River/Stream","Rivermile 7",17090012,NA,"",NA,NA,"45.5763222","-122.74348620000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD09","SPMD09","River/Stream","Rivermile 7; Note: capped 2004",17090012,NA,"",NA,NA,"45.577602900000002","-122.7418888",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD10","SPMD10","River/Stream","Rivermile 7; Note: capped 2004",17090012,NA,"",NA,NA,"45.577108699999997","-122.74259979999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","8.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD11","SPMD11","River/Stream","Rivermile 6.9; Note: capped 2004",17090012,NA,"",NA,NA,"45.577449299999998","-122.744163",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD12","SPMD12","River/Stream","Rivermile 6.9; Note: capped 2004",17090012,NA,"",NA,NA,"45.578001700000002","-122.74478569999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"",NA,"","","","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD13","SPMD13","River/Stream","Rivermile 6.9; Note: capped 2004",17090012,NA,"",NA,NA,"45.577652","-122.7447931",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD14","SPMD14","River/Stream","Rivermile 6.9",17090012,NA,"",NA,NA,"45.577155699999999","-122.7454054",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD15","SPMD15","River/Stream","Rivermile 6.8; Note: capped 2004",17090012,NA,"",NA,NA,"45.579235500000003","-122.7454226",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","1.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD16","SPMD16","River/Stream","Rivermile 6.8; Note: capped 2004",17090012,NA,"",NA,NA,"45.5784691","-122.7460268",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD17","SPMD17","River/Stream","Rivermile 6.8",17090012,NA,"",NA,NA,"45.578154300000001","-122.74706620000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD18","SPMD18","River/Stream","Rivermile 6.7; Note: capped 2004",17090012,NA,"",NA,NA,"45.579352299999996","-122.7471915",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD19","SPMD19","River/Stream","Rivermile 6.7",17090012,NA,"",NA,NA,"45.579949599999999","-122.74597540000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SPMD20","SPMD20","River/Stream","Rivermile 6.6",17090012,NA,"",NA,NA,"45.580000699999999","-122.7499871",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBJ99SW9901","SW99-01","River/Stream","Rivermile 6.8; Note: capped 2004",17090012,NA,"",NA,NA,"45.579433600000002","-122.74507269999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBJ99SW9902","SW99-02","River/Stream","Rivermile 6.9; Note: capped 2004",17090012,NA,"",NA,NA,"45.577795899999998","-122.7438006",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBJ99SW9903","SW99-03","River/Stream","Rivermile 7; Note: capped 2004",17090012,NA,"",NA,NA,"45.577762800000002","-122.74243970000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","28.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBJ99SW9904","SW99-04","River/Stream","Rivermile 7; Note: capped 2004",17090012,NA,"",NA,NA,"45.577769600000003","-122.7420903",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","7.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBJ99SW9905","SW99-05","River/Stream","Rivermile 7.1; Note: capped 2004",17090012,NA,"",NA,NA,"45.576889000000001","-122.7402798",NA,"","","GPS Code (Pseudo Range) Differential","NAD83","4.0","ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SED01","SED01","River/Stream","Rivermile 6.7; Note: capped 2004",17090012,NA,NA,NA,NA,"45.579255600000003","-122.7472174",NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,NA,"Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SED02","SED02","River/Stream","Rivermile 6.7",17090012,NA,NA,NA,NA,"45.579088900000002","-122.7476174",NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,NA,"Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SED03","SED03","River/Stream","Rivermile 6.8; Note: capped 2004",17090012,NA,NA,NA,NA,"45.579305499999997","-122.745234",NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83","4.0","ft             ",NA,NA,"Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SED04","SED04","River/Stream","Rivermile 6.9; Note: capped 2004",17090012,NA,NA,NA,NA,"45.578088899999997","-122.74416739999999",NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83","6.0","ft             ",NA,NA,"Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SED05","SED05","River/Stream","Rivermile 6.9; Note: capped 2004",17090012,NA,NA,NA,NA,"45.5777055","-122.74500070000001",NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,NA,"Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SED06","SED06","River/Stream","Rivermile 6.9; Note: capped 2004",17090012,NA,NA,NA,NA,"45.577988900000001","-122.7437674",NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,NA,"Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SED07","SED07","River/Stream","Rivermile 6.9; Note: capped 2004",17090012,NA,NA,NA,NA,"45.577388900000003","-122.74416739999999",NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,NA,"Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SED08","SED08","River/Stream","Rivermile 7.1",17090012,NA,NA,NA,NA,"45.576555499999998","-122.7401174",NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83","5.0","ft             ",NA,NA,"Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCMBI02SED09","SED09","River/Stream","Rivermile 7; Note: capped 2004",17090012,NA,NA,NA,NA,"45.577122199999998","-122.7435674",NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,NA,"Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-444207122120900","DETROIT LAKE NEAR DETROIT LAKE DAM, OR","Lake, Reservoir, Impoundment","USGS & City of Salem N.Santiam turbid project 8/03",17090005,NA,"",NA,NA,"44.701944400000002","-122.2025",24000,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","1550.0","feet","17.0","feet","Global Positioning System","NGVD29","US",41,"47",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-444410122093000","DETROIT LAKE AT KANES MARINA, OR","Lake, Reservoir, Impoundment","USGS & City of Salem N.Santiam turbid project 8/03",17090005,NA,"",NA,NA,"44.736111100000002","-122.1583333",24000,"1","seconds","Global positioning system (GPS), uncorrected","NAD83","1549.0","feet","22.0","feet","Global Positioning System","NGVD29","US",41,"47",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP59","GP59","River/Stream","Rivermile 6.5",17090012,NA,"",NA,NA,"45.578586899999998","-122.7531589",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP60","GP60","River/Stream","Rivermile 6.5",17090012,NA,"",NA,NA,"45.578155099999996","-122.75274899999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP72","GP72","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.580217599999997","-122.7551788",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP74","GP74","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579847299999997","-122.754256",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP77","GP77","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579521100000001","-122.7558205",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP78","GP78","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579621400000001","-122.7557152",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP79","GP79","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579511599999996","-122.75587520000001",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP83","GP83","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579341900000003","-122.7555543",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"R10PORTLANDHARBOR","EPA Region 10 Superfund Portland Harbor Site","R10PORTLANDHARBOR-WLCSLH01GP84","GP84","River/Stream","Rivermile 6.4",17090012,NA,"",NA,NA,"45.579223300000002","-122.75527169999999",NA,"","","GPS Code (Pseudo Range) Differential","NAD83",NA,"ft             ",NA,"","Other","NAVD88      ","US",41,"51",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-11493500","WILLIAMSON RIVER NEAR KLAMATH AGENCY, OR","Stream","",18010201,"1290.0","sq mi",NA,NA,"42.740135299999999","-121.8344618",NA,"Unknown","Unknown","Interpolated from map","NAD83","4483.1599999999999","feet","0.10000000000000001","feet","Level or other surveying method","NGVD29","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-11501000","SPRAGUE RIVER NEAR CHILOQUIN, OR","Stream","",18010202,"1565.0","sq mi",NA,NA,"42.584580899999999","-121.8497366",NA,"Unknown","Unknown","Interpolated from map","NAD83","4202.4300000000003","feet","0.10000000000000001","feet","Level or other surveying method","NGVD29","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-11504100","WOOD R NR FORT KLAMATH OREG","Stream","",18010203,"87.700000000000003","sq mi",NA,NA,"42.645690000000002","-121.9955755",NA,"Unknown","Unknown","Interpolated from map","NAD83","4150.0","feet","20.0","feet","Interpolated from topographic map","NGVD29","US",41,"35",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-440405122495600","UNNAME TRIB TO WALTERVILLE CANAL @ CAMP CRK RD, OR","Stream","Perennial crk off Walterville EWEB proj  Nov 2008",NA,NA,"",NA,NA,"44.068055600000001","-122.8322222",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"39",NA,NA,NA,NA,NA,NA,NA,NA
"USGS-OR","USGS Oregon Water Science Center","USGS-440549122422200","HOLDEN CREEK AT MCKENZIE HWY, NEAR LEABURG, OR","Stream","EWEB PROJECT short site id E950  C.Anderson 9/2005",NA,NA,"",NA,NA,"44.0968722","-122.70624170000001",NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83",NA,"",NA,"","","","US",41,"39",NA,NA,NA,NA,NA,NA,NA,NA
