"STATION","StationUse_RecordID","DESCRIPTION","DEC_LAT","DEC_LONG","RIVER_MILE","STREAM_LLID","RIVER_MILE_LAKE","LAKE_LLID","LAKE_NAME","GIS_Source_LAKE","USE_OtherParms","USE_Final","GIS_Source","HUC_3rd_Field","Bio_Macro_Data","CASCADE_LAKES","MARINE_WATERS","STRATIFIED_Natural_Lake","ESTUARY","LAKE","MARINE_COASTAL_REC","Enterro_Data","DHS_Station_Type","DHS_Station_Type_Num","EPA_BEACH_ID","BEACH_NAME","ELEVATION_FT","WRD_Basin","Comments","Reviewed_Permit_Writers","RIVER_MILE_2004","LLID_2004","USE_Bacteria","Salinity_Max","Conductivity_Max","PondResSmall","Stream_Name","MATRIX","TRIBAL","AGENCY","AGENCY_ID","STATIONS_2012","UsabilityComments"
"29630",NA,"Edson Creek at county bridge","42.47147","-124.38596","1.099","1243821424579",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.106534426897",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,"Seem OK to use, but should be on Edson Creek?"
"29697",NA,"Edson Creek, above bridge #256","42.475278","-124.389444","1.494","1243821424579",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.052272081561",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,"Seem OK to use, but should be on Edson Creek?"
"36572",NA,"Wetland Trib to Euchre Cr at RM 0.1","42.55904","-124.39003","0.129","1243905425599",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0708226651045",NA,NA,NA,"ES",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"28306",NA,"East Fork Edson Creek near mouth (Rogue River below Lobster Creek)","42.4806","-124.3926","1.963","1243821424579",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.073111244621",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36734",NA,"Edson Cr WF ABV EF","42.4805","-124.39467","0.034","1243929424804",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0509325029256",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,"Seem OK to use, but should be on Edson Creek?"
"36741",NA,"Edson Cr WF DS of Wetland Fork","42.48285","-124.40046","0.391","1243929424804",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0403303522348",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,"Seem OK to use, but should be on Edson Creek?"
"36730",NA,"Pistol River at Hwy 101","42.27781","-124.40459","0","1243982422746",NA,NA,NA,NA,NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"Pistol River","ES",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36705",NA,"Pistol River at Pacific Ocean","42.29127","-124.4076","0","1243982422746",NA,NA,NA,NA,NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.3",NA,NA,"Pistol River","ES",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36590",NA,"Riley Cr Across from Power Sub Station","42.40945","-124.41516","0.738","1244100424064",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0786234783874",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36589",NA,"Dean Creek US of W Enteranc of Buffington Pk","42.41467","-124.41783","1.35","1244243424243",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.10418913762",NA,NA,NA,"ES",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36588",NA,"Dean Cr Culvert Outlet to Rogue R","42.42003","-124.4235","0.842","1244243424243",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2",NA,NA,NA,"ES",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36725",NA,"Laurel Lake Trib from Lost Lake","43.02317","-124.43516","0.185","1244358430212",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0545108279408",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36652",NA,"New River North of Fourmile Creek","43.0249","-124.4478","0","1244569430006",NA,NA,NA,NA,NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.3",NA,NA,"New River","ES",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36721",NA,"South Langlois Creek at Hwy 101","42.92238","-124.45011","2.26216477273","1244923429259",NA,NA,NA,NA,NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0425204997905",NA,NA,"Langlois Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"32667",NA,"North Langlois Creek near Langlois (tributary to New River)","42.9345","-124.4551","1.66676325758","1244923429259",NA,NA,NA,NA,NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.053614434115",NA,NA,"Langlois Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36757",NA,"Bethel Cr Re-Located Channel at 2nd Bridge US","42.976462","-124.456272","0.840746212121","1244596429890",NA,NA,NA,NA,NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0545108279408",NA,NA,"Davis Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36728",NA,"North Langlois Cr at DS Bridge","42.93785","-124.45765","1.572","1244923429259",NA,NA,NA,NA,NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0608167014312",NA,NA,"Langlois Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36630",NA,"Butte Creek NR Mouth","42.9577","-124.46022","0","1244598429527",NA,NA,NA,NA,NA,1,"StreamNet 100K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.052272081561",NA,NA,"Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"29553",NA,"Elk River Bagley Creek at mouth","42.76988","-124.4606","0","1244595427717",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0407674997178",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36579",NA,"Mill Creek at North Crossing of Hwy 101","42.7737","-124.49683","0.288","1245008427731",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0390216796098",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36508",NA,"Cedar Creek Headwaters Near Cape Blanco Road (Elk R)","42.81064","-124.49864","2.32","1245213427948",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0451624665925",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36580",NA,"Mill Creek at Rose Way (Garrison Lake)","42.77327","-124.49904","0.158","1245008427731",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0504866111952",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36565",NA,"Cedar Cr Halfway Between Logs","42.806059","-124.500826","1.9","1245213427948",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0549594620347",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36566",NA,"Cedar Cr at BBQ","42.80515","-124.5024","1.79","1245213427948",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0460462449258",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"34312",NA,"Cedar Creek at Pit Road (Elk)","42.803","-124.5032","1.63","1245213427948",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0495958039511",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36577",NA,"Garrison Lake Trib Buffington Pond Upstream of Pinehurst Rd","42.75241","-124.50338","0.24","1245063427541",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0841615069537",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36586",NA,"Garrison Lake Trib at Paradise Pt Rd","42.7604","-124.50454","0.506","1245054427542",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0385864063906",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36585",NA,"Garison Lake Trib from Sewage Disposal Pond at Trail","42.7475","-124.50727","0.306","1245103427493",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.132523622959",NA,NA,NA,"ES",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36584",NA,"Garrison Lake Trib from Sewage Disposal Ponds at Rd","42.74842","-124.50748","0.308","1245103427493",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.143006614689",NA,NA,NA,"ES",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"28301",NA,"Cedar Creek at McKenzie Road Bridge (Elk Creek)","42.7956","-124.5092","0.998","1245213427948",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.061269080468",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36760",NA,"Cedar Cr US of Bridge Above McKenzie Rd Bridge (Elk R)","42.79653","-124.51024","0.898","1245213427948",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0554083831157",NA,NA,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"36759",NA,"Garrison Lake Trib to NW Arm at Paradise Point Rd","42.7602","-124.5106","0.428","1245113427555",NA,NA,NA,NA,NA,1,"PNW Hydrography 24K","Southern Oregon Coastal",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.238051782089",NA,NA,NA,"ES",0,"Oregon Department of Environmental Quality","ODEQ",1,NA
"NLA06608-0402",NA,"Powers Pond","42.8897489","-124.0780934","28.5845018939",NA,NA,"1240766428895","Powers Pond","StreamNet 100K",NA,1,NA,"Southern Oregon Coastal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0635346336053",NA,NA,"South Fork Coquille River","FW",0,"EPA National Aquatic Resources Survey","NARS_WQX",1,NA
"440321122532000",NA,"CEDAR CREEK AT BILLINGS LANE BRIDGE,SPRINGFIELD,OR","44.0559444","-122.8893333","3.191","1229475440684",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cedar Flat Creek","FW",0,"United States Geological Survey","USGS",1,NA
"452105122223000",NA,"EAGLE CREEK AT BONNIE LURE ST. PK, OR","45.3512323","-122.3767539","0.397","1223833453520",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eagle Creek","FW",0,"United States Geological Survey","USGS",1,NA
"452335122295000",NA,"CLACKAMAS RIVER AT CARVER, OR","45.3928991","-122.4970338","7.268","1226050453723",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clackamas River","FW",0,"United States Geological Survey","USGS",1,NA
"452410122194000",NA,"TICKLE CREEK TRIB AT COLORADO ROAD, NEAR SANDY, OR","45.4026207","-122.3298102","0.133","1223308454046",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Fork Tickle Creek","FW",0,"United States Geological Survey","USGS",1,NA
"440321122493000",NA,"UNNAMED CREEK AT HENDRICKS PARK NR WALTERVILLE, OR","44.0557472","-122.8238444","0.203","1228187440588",NA,NA,NA,NA,NA,1,NA,"Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"United States Geological Survey","USGS",1,NA
"440359122480000",NA,"NNAME TRIB TO MCKENZIE R NR WALTERVILLE CULVRT, OR","44.0663889","-122.8008333","0.159","1228052440559",NA,NA,NA,NA,NA,1,NA,"Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"United States Geological Survey","USGS",1,NA
"440731122315000",NA,"GALE CREEK @ GOODPASTURE RD BRIDGE, NR LEABURG, OR","44.1252778","-122.53","0.147","1225299441275",NA,NA,NA,NA,NA,1,"StreamNet 100K","Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marten Creek","FW",0,"United States Geological Survey","USGS",1,NA
"440727122376000",NA,"WARD CREEK AT CANAL LANE, NEAR LEABURG, OR","44.1241667","-122.6327778","0.015","1226308441243",NA,NA,NA,NA,NA,1,NA,"Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"United States Geological Survey","USGS",1,NA
"440731122374000",NA,"MONTGOMERY CREEK AT MCKENZIE HWY, NR LEABURG, OR","44.1255556","-122.6272222","0.047","1226272441249",NA,NA,NA,NA,NA,1,NA,"Willamette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",0,"United States Geological Survey","USGS",1,NA
"13769",5624,"Dorena Lake at deepest point","43.783332999999999","-122.95","7.6799999999999997","1230436438208",0,"1229146437703","Dorena Lake","StreamNet",1,1,"100K","Willamette",0,0,0,0,0,1,0,0,NA,NA,NA,NA,833,"Willamette","",0,"7.7000000000000002",1230436438208,1,NA,"68.0",0,"Row River","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"24297",5626,"Nehalem River at River Mile 3.5","45.731672000000003","-123.863198","4.5","1238951456889",NA,NA,NA,NA,1,1,NA,"Northern Oregon Coastal",0,0,0,0,1,0,0,0,NA,NA,NA,NA,13,"North Coast","Estuary Source 7.",0,"4.5",1238951456889,1,"10.199999999999999","4720.0",0,"Nehalem River","ES",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"14018",5627,"Tenmile Lake at Templeton Arm","43.548110999999999","-124.118972",NA,NA,0,"1241367435617","Tenmile Lake","StreamNet",1,1,"100K","Southern Oregon Coastal",0,0,0,0,0,1,0,0,NA,NA,NA,NA,10,"South Coast",NA,0,"0.0",1241367435617,1,NA,"83.200000000000003",0,NA,"FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"32953",5628,"Columbia River at River Mile 15, 1.3 nautical miles southeast of Point Ellice","46.224626999999998","-123.850645","11.06","1240483462464",NA,NA,NA,NA,1,1,"100K","Lower Columbia",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,"North Coast","Estuary Source 3.",0,"0.0",NA,1,"4.0",NA,0,"Columbia River","ES",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"13517",5630,"Bewley Creek at Bewley Creek Road","45.394722000000002","-123.839167","1.2","1238283454068",NA,NA,NA,NA,1,1,NA,"Northern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,39,"North Coast",NA,0,"1.2",1238283454068,1,NA,"88.0",0,"Bewley Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"26870",5631,"Timber Creek (Middle Fork Willamette River upstream of Fall Creek Dam)","43.959406999999999","-122.57516","0.90000000000000002","1225781439720",NA,NA,NA,NA,1,1,NA,"Willamette",1,0,0,0,0,0,0,0,NA,NA,NA,NA,1178,"Willamette",NA,0,"0.90000000000000002",1225781439720,1,NA,"45.0",0,"Timber Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"25851",5632,"North Fork Floras Creek at mouth","42.909999999999997","-124.31999999999999","0.10000000000000001","1243207429083",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,505,"South Coast","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"0.10000000000000001",1243207429083,1,NA,"226.0",0,"North Fork Floras Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"11479",5633,"John Day River upstream of Dayville","44.466330999999997","-119.470494","212.30000000000001","1206499457318",NA,NA,NA,NA,1,1,NA,"John Day",0,0,0,0,0,0,0,0,NA,NA,NA,NA,2402,"John Day","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"212.30000000000001",1206499457318,1,NA,"485.0",0,"John Day River","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"12999",5634,"Wallowa River 50 feet upstream of Wallowa STP outfall","45.577581000000002","-117.52865799999999","22.899999999999999","1177853457255",NA,NA,NA,NA,1,1,NA,"Lower Snake",0,0,0,0,0,0,0,0,NA,NA,NA,NA,2979,"Grande Ronde","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",1,"22.899999999999999",1177853457255,1,NA,"235.0",0,"Wallowa River","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"34224",5635,"Siuslaw River at Dogwood Creek Road","43.887129999999999","-123.44038","83.069999999999993","1241338440157",NA,NA,NA,NA,1,1,"100K","Northern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,512,"Mid Coast",NA,0,"0.0",NA,1,NA,"77.0",0,"Siuslaw River","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"31585",5636,"Siuslaw River, 0.3 nautical miles north of Marker #8","44.013092","-124.131174","0.25","1241338440157",NA,NA,NA,NA,1,1,"100K","Northern Oregon Coastal",0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,"Mid Coast","Estuary Source 14.",0,NA,NA,1,"28.699999999999999",NA,0,"Siuslaw River","ES",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"13634",5637,"South Slough In Brown's Cove","43.323166999999998","-124.313833","2.2999999999999998","1243210433542",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,"South Coast","Estuary Source 4.",0,"2.2999999999999998",1243210433542,1,"33.600000000000001",NA,0,"South Slough","ES",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"23126",5638,"Cooper Creek Reservoir near dam, depth 10 feet","43.379694000000001","-123.28025","2.48","1233218433779",0,"1232627433773","Cooper Creek Reservoir","StreamNet",1,1,"100K","Southern Oregon Coastal",0,0,0,0,0,1,0,0,NA,NA,NA,NA,669,"Umpqua","Cooper Cr Reservoir site - 5 stations at same lat/long and different depths. Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"2.5",1233218433779,1,NA,"202.0",0,"Cooper Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"13686",5640,"Parker Slough at mouth","44.589193999999999","-124.0125","0.29999999999999999","1240181445913",NA,NA,NA,NA,1,1,NA,"Northern Oregon Coastal",0,0,0,0,1,0,0,0,NA,NA,NA,NA,39,"Mid Coast","Estuary Source 17.",0,"0.29999999999999999",1240181445913,1,"32.299999999999997",NA,0,"Parker Slough","ES",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"34859",5641,"City of Gold Hill PWS Intake, Rogue River at RM 120.61","42.4465","-123.04300000000001","120.73999999999999","1244292424210",NA,NA,NA,NA,1,1,"100K","Southern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1073,"Rogue",NA,0,"0.0",NA,1,NA,"105.0",0,"Rogue River","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"11596",5643,"Klamath River upstream of Klamath Strait","42.096277999999998","-121.859972","246.06","1221913420005",NA,NA,NA,NA,1,1,NA,"Klamath",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4095,"Klamath","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"37.399999999999999",1221913420005,1,NA,"453.0",0,"Klamath River","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"21506",5642,"Jackson Creek above Falcon Creek (tributary of South Umpqua)","42.997943999999997","-122.551833","19.899999999999999","1228807429694",NA,NA,NA,NA,1,1,NA,"Southern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,2651,"Umpqua",NA,0,"19.899999999999999",1228807429694,1,NA,"87.0",0,"Jackson Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"26638",5645,"Little Butte Creek, in Eagle Point at Mattie Brown Park on Royal Avenue (Rogue)","42.471829999999997","-122.79958999999999","4.9800000000000004","1228754424514",NA,NA,NA,NA,1,1,"100K","Southern Oregon Coastal",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1303,"Rogue",NA,0,NA,NA,1,NA,"156.0",0,"Little Butte Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"30480",5646,"Heceta Beach","44.037669999999999","-124.13518000000001","184.41","1240637462558",NA,NA,NA,NA,1,1,"100K","Northern Oregon Coastal",0,0,1,0,0,0,1,1,"Marine",1,"OR298050","Heceta Beach",3,"Mid Coast","Estuary criteria by salinty and/or conductivity but verified non-estuarine by GIS.",0,"0.0",NA,1,"33.600000000000001",NA,0,"Pacific Ocean","SW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"22310",5648,"Skipanon River 25 feet from Pacific Surimi Dock","46.172221999999998","-123.911389","1.3999999999999999","1239022461912",NA,NA,NA,NA,1,1,NA,"Lower Columbia",0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,"North Coast","Estuary Source 3.",0,"1.3999999999999999",1239022461912,1,NA,"4340.0",0,"Skipanon Waterway","ES",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"31499",5649,"Middle Neal Creek at Hwy 35","45.641767000000002","-121.5142","2.0099999999999998","1215257456640",NA,NA,NA,NA,1,1,NA,"Middle Columbia",1,0,0,0,0,0,0,0,NA,NA,NA,NA,600,"Hood",NA,0,NA,NA,1,NA,"148.0",0,"Neal Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"33706",5650,"Calamity Creek","43.980224999999997","-118.77137","6.4699999999999998","1186712439644",NA,NA,NA,NA,1,1,NA,"Middle Snake-Boise",1,0,0,0,0,0,0,0,NA,NA,NA,NA,4515,"Malheur",NA,0,"0.0",NA,1,NA,"180.0",0,"Calamity Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"12547",5712,"Fifteenmile Creek 20 feet upstream of Dufur STP outfall","45.450861000000003","-121.120194","29.5","1211264456185",NA,NA,NA,NA,1,1,NA,"Middle Columbia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,1289,"Hood",NA,1,"29.5",1211264456185,1,NA,"64.0",0,"Fifteenmile Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"33772",5713,"Willamina Creek at Hwy 18 in Willamina, OR","45.078000000000003","-123.4851","0.45000000000000001","1234765450782",NA,NA,NA,NA,1,1,"100K","Willamette",0,0,0,0,0,0,0,0,NA,NA,NA,NA,220,"Willamette",NA,0,"0.0",NA,1,NA,"116.0",0,"Willamina Creek","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
"26038",5714,"Klamath River at Forebay of Keno Dam downstream of Keno, OR","42.135359999999999","-121.95008","254.41","1221913420005",NA,NA,NA,NA,1,1,NA,"Klamath",0,0,0,0,0,0,0,0,NA,NA,NA,NA,4088,"Klamath",NA,0,"45.799999999999997",1221913420005,1,NA,"177.0",0,"Klamath River","FW",0,"Oregon Department of Environmental Quality","ODEQ",0,NA
